group,scenario,curvature,uncertaintyScale,targetCurvature,targetSpeedRate,initialLateral,initialHeading,initialSpeed,roadBoundaries,horizonSeconds,confirmationRange,completed,passed,executedHolds,failureIdentifier,failureMessage,minNodeGap,minSampledGap,minDomainMargin,minTerminalMargin,maxClfResidual,recursiveFeasibilityGuaranteed,maxFrameMs
A-geometry,stationary,0,0,0,0,0,0,0,0,1.6,16,1,1,240,,,0.100086414916618,0.0985360412973523,-0.0127023810166854,0.1818945537359,-2.99735310301347e-06,1,1156.42
A-geometry,stationary,0.005,0,0,0,0,0,0,0,1.6,16,1,1,240,,,0.150310619360196,0.149462115219326,-0.0444700256321329,0.177592176032337,-2.91276884704353e-06,1,183.221
A-geometry,stationary,-0.005,0,0,0,0,0,0,0,1.6,16,1,1,240,,,0.150310620216551,0.149462116070276,-0.0444700242079955,0.177592176261407,-2.9127688473268e-06,1,90.198
A-geometry,stationary,0.01,0,0,0,0,0,0,0,1.6,16,1,1,240,,,0.201110539848336,0.200978528035842,-0.0837154162823814,0.17318673111152,-2.82922244288414e-06,1,73.015
A-geometry,stationary,-0.01,0,0,0,0,0,0,0,1.6,16,1,1,240,,,0.201110539853742,0.200978528049196,-0.0837154162336106,0.173186731109813,-2.82922244362025e-06,1,134.784
A-geometry,stationary,0.015,0,0,0,0,0,0,0,1.6,16,1,1,240,,,0.251639752793786,0.250470704138916,-0.109881064131626,0.168714050155922,-2.75001815478126e-06,1,88.249
A-geometry,stationary,-0.015,0,0,0,0,0,0,0,1.6,16,1,1,240,,,0.251639752998523,0.250470704232051,-0.109881063150185,0.168714050153117,-2.75001815467203e-06,1,54.087
A-geometry,stationary,0.02,0,0,0,0,0,0,0,1.6,16,1,1,240,,,0.299975693939535,0.299020130532551,-0.119521368558217,0.164148794703852,-2.67040188709962e-06,1,60.466
A-geometry,stationary,-0.02,0,0,0,0,0,0,0,1.6,16,1,1,240,,,0.299975693074953,0.299020128613685,-0.119521368582034,0.164148794690608,-2.6704018870222e-06,1,58.756
A-geometry,oncoming,0,0,0,0,0,0,0,0,1.6,16,1,1,240,,,0.266546508300949,0.262988388226237,-0.288715006458827,0.180364291639972,-2.99915256068947e-06,1,91.41
A-geometry,oncoming,0.005,0,0,0,0,0,0,0,1.6,16,1,1,240,,,0.331856600141704,0.328340651037948,-0.298538533665386,0.175976036133352,-2.91010538254374e-06,1,78.04
A-geometry,oncoming,-0.005,0,0,0,0,0,0,0,1.6,16,1,1,240,,,0.331856595455735,0.328340645935659,-0.298538533171693,0.175976036139483,-2.91010538326053e-06,1,66.009
A-geometry,oncoming,0.01,0,0,0,0,0,0,0,1.6,16,1,1,240,,,0.381250983074227,0.376555621277511,-0.311272891042076,0.171430266199129,-2.83384345189806e-06,1,42.36
A-geometry,oncoming,-0.01,0,0,0,0,0,0,0,1.6,16,1,1,240,,,0.381250981317955,0.376555619515218,-0.311272890404454,0.171430266142568,-2.83384345172274e-06,1,44.124
A-geometry,oncoming,0.015,0,0,0,0,0,0,0,1.6,16,1,1,240,,,0.415366251332894,0.411963291569036,-0.328716380547443,0.166857020062967,-2.75229137323206e-06,1,39.443
A-geometry,oncoming,-0.015,0,0,0,0,0,0,0,1.6,16,1,1,240,,,0.415366251625958,0.411963291416932,-0.328716380523114,0.166856277201939,-2.75229137322629e-06,1,39.141
A-geometry,oncoming,0.02,0,0,0,0,0,0,0,1.6,16,1,1,240,,,0.440979791080053,0.440979791080053,-0.338317253701309,0.162192237509997,-2.67158062595172e-06,1,37.333
A-geometry,oncoming,-0.02,0,0,0,0,0,0,0,1.6,16,1,1,240,,,0.440979791293397,0.440979791293397,-0.338317251616101,0.162192238028903,-2.67158062608748e-06,1,37.803
A-geometry,crossing,0,0,0,0,0,0,0,0,1.6,16,1,1,240,,,9.51958848991162,9.51958848991162,0.399862323941141,0.182403223054235,-4.85148855269354e-06,1,24.964
A-geometry,crossing,0.005,0,0,0,0,0,0,0,1.6,16,1,1,240,,,0.585183742980731,0.58020144034078,-0.297936856081816,0.17741614515504,-2.91218138661787e-06,1,49.493
A-geometry,crossing,-0.005,0,0,0,0,0,0,0,1.6,16,1,1,240,,,0.665270005938192,0.657727938014239,-0.277902680121848,0.177394926122278,-2.9087139408606e-06,1,49.451
A-geometry,crossing,0.01,0,0,0,0,0,0,0,1.6,16,1,1,240,,,0.817375574549705,0.815334641832625,-0.28334039600995,0.173022335128599,-2.83562621424301e-06,1,55.625
A-geometry,crossing,-0.01,0,0,0,0,0,0,0,1.6,16,1,1,240,,,0.579161254372616,0.579161254372616,-0.309070754777888,0.173005185593526,-2.83444919066003e-06,1,47.016
A-geometry,crossing,0.015,0,0,0,0,0,0,0,1.6,16,1,1,240,,,0.746548896417259,0.745996290174024,-0.404422653822397,0.168563785875156,-2.75274013493787e-06,1,87.512
A-geometry,crossing,-0.015,0,0,0,0,0,0,0,1.6,16,1,1,240,,,0.58810618665663,0.58810618665663,-0.318730378663197,0.168497835961851,-2.76634695115403e-06,1,47.251
A-geometry,crossing,0.02,0,0,0,0,0,0,0,1.6,16,1,1,240,,,1.05345489382542,1.05280362907155,-0.499612803267913,0.163920422351871,-2.67106857083583e-06,1,52.06
A-geometry,crossing,-0.02,0,0,0,0,0,0,0,1.6,16,1,1,240,,,0.54592548494154,0.531638126664261,-0.331623359892808,0.164451466984523,-2.69135602189871e-06,1,68.993
A-geometry,cruise,0,0,0,0,0,0,0,0,1.6,16,1,1,240,,,Inf,Inf,0.4,0.182404774101373,-8.43003141281889e-06,1,25.619
A-geometry,cruise,0.005,0,0,0,0,0,0,0,1.6,16,1,1,240,,,Inf,Inf,0.394307563640903,0.178098276731102,-8.02775001684245e-06,1,24.025
A-geometry,cruise,-0.005,0,0,0,0,0,0,0,1.6,16,1,1,240,,,Inf,Inf,0.394307563640903,0.178098276731102,-8.02775001684638e-06,1,14.603
A-geometry,cruise,0.01,0,0,0,0,0,0,0,1.6,16,1,1,240,,,Inf,Inf,0.388683943561391,0.173700809763411,-7.72702087016285e-06,1,11.818
A-geometry,cruise,-0.01,0,0,0,0,0,0,0,1.6,16,1,1,240,,,Inf,Inf,0.388683943561391,0.173700809763413,-7.72702087015517e-06,1,12.262
A-geometry,cruise,0.015,0,0,0,0,0,0,0,1.6,16,1,1,240,,,Inf,Inf,0.383133843889697,0.169218415007404,-7.44785879713671e-06,1,12.349
A-geometry,cruise,-0.015,0,0,0,0,0,0,0,1.6,16,1,1,240,,,Inf,Inf,0.383133843889697,0.169218415007404,-7.44785879714964e-06,1,11.793
A-geometry,cruise,0.02,0,0,0,0,0,0,0,1.6,16,1,1,240,,,Inf,Inf,0.377662573546383,0.164657634514532,-7.1755644639738e-06,1,11.928
A-geometry,cruise,-0.02,0,0,0,0,0,0,0,1.6,16,1,1,240,,,Inf,Inf,0.377662573546384,0.164657634514531,-7.17556446396322e-06,1,11.607
B-uncertainty,stationary,0,1,0,0,0,0,0,0,1.6,16,1,1,240,,,0.710082432775843,0.696112080366043,-0.144857173775107,0.178168040794751,-2.34342472764968e-05,1,67.451
B-uncertainty,stationary,0,3,0,0,0,0,0,0,1.6,16,1,1,240,,,1.73054683329029,1.71847042302337,-0.372805788677198,0.170640072787041,-7.96279871004988e-05,1,51.93
B-uncertainty,stationary,0,10,0,0,0,0,0,0,1.6,16,1,1,240,,,5.01838543107406,5.01210860500027,-4.39256526745503,0.143682389245411,-0.000561672918830416,1,51.199
B-uncertainty,stationary,0.01,1,0,0,0,0,0,0,1.6,16,1,1,240,,,0.653816413426364,0.638447785858203,-0.155070989864156,0.168171983795728,-0.000648822704944365,1,54.412
B-uncertainty,stationary,0.01,3,0,0,0,0,0,0,1.6,16,1,1,240,,,1.40715320908896,1.40207336483428,-0.36075601867931,0.158055053421554,-0.00516554173487723,1,52.725
