Case,Estimator,Seed,PositionRmseM,VelocityRmseMps,AccelerationRmseMps2,CurvatureLagS,ContinuousPositionBoundM,ContinuousVelocityBoundMps,ContinuousAccelerationBoundMps2,ContinuousDecayRatePerS,BandwidthPerS,InitialPeakAccelerationErrorMps2,MaximumPositionErrorM,MaximumAccelerationErrorMps2,DomainValidFraction,TruthDomainValid,MeanStepMs,MaxStepMs,DeclaredModelJerkCovered,HasRadarDropout,DigitalCertified
retained-noise-free,structured-high-gain,20260925,0.000122561539399391,0.0153121855065244,0.00645072899055984,NaN,2.20716330349442,12.7289505611289,30.2633254156394,0.8,2.59104629264778,5.02619877566669,0.00102457049450946,0.0213781522966875,1,1,2.92226,323.81,1,0,0
retained-noise,structured-high-gain,20260925,0.0290677251627342,0.120754733700535,0.181573748795933,NaN,2.20716330349442,12.7289505611289,30.2633254156394,0.8,2.59104629264778,5.12890571190202,0.0657086021786756,0.375723212923046,1,1,2.15124666666667,9.854,1,0,0
retained-noise,structured-high-gain,20260926,0.0287209342364638,0.119492497475153,0.181368244875791,NaN,2.20716330349442,12.7289505611289,30.2633254156394,0.8,2.59104629264778,4.81302495884487,0.0635954132708017,0.447840928951592,1,1,2.08624166666667,5.594,1,0,0
retained-noise,structured-high-gain,20260927,0.029855110088946,0.12724239327754,0.194485834243958,NaN,2.20716330349442,12.7289505611289,30.2633254156394,0.8,2.59104629264778,4.94300969693733,0.067793958731839,0.448278438222618,1,1,2.055095,5.433,1,0,0
retained-noise,structured-high-gain,20260928,0.0277986005442539,0.115711085576212,0.176244939075185,NaN,2.20716330349442,12.7289505611289,30.2633254156394,0.8,2.59104629264778,5.04916732388891,0.0647172805890333,0.399657185545927,1,1,2.05131833333333,5.065,1,0,0
retained-noise,structured-high-gain,20260929,0.0284460295042203,0.118548640243689,0.180324504557048,NaN,2.20716330349442,12.7289505611289,30.2633254156394,0.8,2.59104629264778,4.98443474205207,0.0634478826266482,0.426850939194832,1,1,2.09412833333333,5.036,1,0,0
retained-noise,structured-high-gain,20260930,0.0290257456836582,0.118479070682573,0.179483882388487,NaN,2.20716330349442,12.7289505611289,30.2633254156394,0.8,2.59104629264778,5.07539189328299,0.0792199154240067,0.395026152080691,1,1,2.05962666666667,5.112,1,0,0
retained-noise,structured-high-gain,20260931,0.0283385598517381,0.12100020196229,0.185200587058829,NaN,2.20716330349442,12.7289505611289,30.2633254156394,0.8,2.59104629264778,5.12338502019501,0.0738149783471352,0.434506924285142,1,1,2.05606333333333,5.083,1,0,0
retained-noise,structured-high-gain,20260932,0.0274393811051905,0.116825216000496,0.177618565375097,NaN,2.20716330349442,12.7289505611289,30.2633254156394,0.8,2.59104629264778,5.04978292124447,0.05942555897606,0.402332729230124,1,1,2.08024833333333,5.491,1,0,0
varying-noise,structured-high-gain,20260925,0.0296729626734097,0.130404220308812,0.302683792051558,0.62,3.88634944264727,21.2696944308038,50.8581464383683,0.727272727272727,2.59195511577944,5.13064559480832,0.0658703561998569,0.995964894860068,1,1,2.05796,8.478,1,0,0
varying-noise,structured-high-gain,20260926,0.0289332048377317,0.131845869889078,0.314107757550504,0.68,3.88634944264727,21.2696944308038,50.8581464383683,0.727272727272727,2.59195511577944,4.81445677407462,0.071933869354564,1.10973247404347,1,1,2.09077333333333,6.087,1,0,0
varying-noise,structured-high-gain,20260927,0.0304541922780355,0.139651669230568,0.329080038773948,0.58,3.88634944264727,21.2696944308038,50.8581464383683,0.727272727272727,2.59195511577944,4.94333401011249,0.0678038389395195,1.37780022077859,1,1,2.10374,4.94,1,0,0
varying-noise,structured-high-gain,20260928,0.0275292798995432,0.127790925400449,0.310740781459045,0.6,3.88634944264727,21.2696944308038,50.8581464383683,0.727272727272727,2.59195511577944,5.05186481666363,0.064691869031952,1.12344900529973,1,1,2.09198666666667,4.954,1,0,0
varying-noise,structured-high-gain,20260929,0.0291860141676153,0.130703742094876,0.311248857095586,0.58,3.88634944264727,21.2696944308038,50.8581464383683,0.727272727272727,2.59195511577944,4.9859932835649,0.0678987647170931,1.23385500008316,1,1,2.09875,5.096,1,0,0
varying-noise,structured-high-gain,20260930,0.0297778495417575,0.133633480866965,0.314500443126242,0.68,3.88634944264727,21.2696944308038,50.8581464383683,0.727272727272727,2.59195511577944,5.07702894888108,0.0794001082097752,1.19570939635758,1,1,2.09760166666667,5.297,1,0,0
varying-noise,structured-high-gain,20260931,0.0288028907510495,0.135393517063733,0.318889726851531,0.64,3.88634944264727,21.2696944308038,50.8581464383683,0.727272727272727,2.59195511577944,5.12509391386772,0.0738272950777379,1.25644671068036,1,1,2.12236666666667,6.226,1,0,0
varying-noise,structured-high-gain,20260932,0.0277682690958183,0.129579786016528,0.311173079070158,0.62,3.88634944264727,21.2696944308038,50.8581464383683,0.727272727272727,2.59195511577944,5.05137298011985,0.0594062384227556,1.24467743251394,1,1,2.05703833333333,5.123,1,0,0
dropout-noise,structured-high-gain,20260925,0.0358339508886261,0.131640368765601,0.195307835311207,NaN,2.20716330349442,12.7289505611289,30.2633254156394,0.8,2.59104629264778,5.12890571190202,0.106921537700281,0.56805902985869,1,1,2.114805,6.281,1,1,0
dropout-noise,structured-high-gain,20260926,0.0287905514095614,0.115598301124803,0.174723152075428,NaN,2.20716330349442,12.7289505611289,30.2633254156394,0.8,2.59104629264778,4.81302495884487,0.0639538436201104,0.448224147493116,1,1,2.09208833333333,6.157,1,1,0
dropout-noise,structured-high-gain,20260927,0.08754106968202,0.275501152542406,0.401733405378922,NaN,2.20716330349442,12.7289505611289,30.2633254156394,0.8,2.59104629264778,4.94300969693733,0.434156527986007,2.15528272679521,1,1,2.10837166666667,5.396,1,1,0
dropout-noise,structured-high-gain,20260928,0.0368354410962177,0.133850260894199,0.199349892596865,NaN,2.20716330349442,12.7289505611289,30.2633254156394,0.8,2.59104629264778,5.04916732388891,0.142199466548063,0.766442663161364,1,1,2.12926,5.311,1,1,0
dropout-noise,structured-high-gain,20260929,0.0385253470802634,0.135795742116293,0.202996413289657,NaN,2.20716330349442,12.7289505611289,30.2633254156394,0.8,2.59104629264778,4.98443474205207,0.130263819253388,0.771361720323526,1,1,2.101395,5.215,1,1,0
dropout-noise,structured-high-gain,20260930,0.0574551276582287,0.185984144129967,0.272253298006824,NaN,2.20716330349442,12.7289505611289,30.2633254156394,0.8,2.59104629264778,5.07539189328299,0.26352165020151,1.33389317354132,1,1,2.08687333333333,5.049,1,1,0
dropout-noise,structured-high-gain,20260931,0.0880567633834532,0.281764472457385,0.409785814571389,NaN,2.20716330349442,12.7289505611289,30.2633254156394,0.8,2.59104629264778,5.12338502019501,0.438817132186158,2.10815115376156,0.984031936127745,1,2.06292333333333,5.495,1,1,0
dropout-noise,structured-high-gain,20260932,0.0685453514441153,0.214198883062264,0.3120491564139,NaN,2.20716330349442,12.7289505611289,30.2633254156394,0.8,2.59104629264778,5.04978292124447,0.331838797249302,1.76607324799913,1,1,2.041025,5.262,1,1,0
retained-noise-25Hz,structured-high-gain,20260925,0.0493654238557255,0.198391847753219,0.297222391563231,NaN,2.20716330349442,12.7289505611289,30.2633254156394,0.8,2.59104629264778,5.23555375501092,0.0968025792070915,0.744194884110489,1,1,2.81036333333333,5.796,1,0,0
retained-noise-25Hz,structured-high-gain,20260926,0.0393345058636096,0.162759544762702,0.244542845575406,NaN,2.20716330349442,12.7289505611289,30.2633254156394,0.8,2.59104629264778,5.05652168195613,0.0877533951623197,0.636705589966717,1,1,2.79737333333333,5.915,1,0,0
retained-noise-25Hz,structured-high-gain,20260927,0.0408362586677955,0.167579516580447,0.253423696789886,NaN,2.20716330349442,12.7289505611289,30.2633254156394,0.8,2.59104629264778,5.26531928423181,0.0867953226560283,0.593294104370277,1,1,2.75164666666667,6.131,1,0,0
retained-noise-25Hz,structured-high-gain,20260928,0.0446933330892322,0.190013851103533,0.289566434333583,NaN,2.20716330349442,12.7289505611289,30.2633254156394,0.8,2.59104629264778,5.38149671738571,0.0998476921567773,0.595681680223437,1,1,2.87456666666667,6.029,1,0,0
retained-noise-25Hz,structured-high-gain,20260929,0.0431030977059843,0.178061975445175,0.26635090474361,NaN,2.20716330349442,12.7289505611289,30.2633254156394,0.8,2.59104629264778,5.34039823780566,0.0962663225699878,0.556638210034344,1,1,2.95365666666667,6.11,1,0,0
retained-noise-25Hz,structured-high-gain,20260930,0.042475932389097,0.178410782576966,0.270811750760279,NaN,2.20716330349442,12.7289505611289,30.2633254156394,0.8,2.59104629264778,5.46780966887446,0.091126521735793,0.601268009603484,1,1,3.02368666666667,7.122,1,0,0
retained-noise-25Hz,structured-high-gain,20260931,0.0430759475647276,0.180760694556782,0.27156569868885,NaN,2.20716330349442,12.7289505611289,30.2633254156394,0.8,2.59104629264778,5.28644926036068,0.102748903225727,0.576974291711191,1,1,2.83392666666667,6.267,1,0,0
retained-noise-25Hz,structured-high-gain,20260932,0.0447945391195413,0.183415453810637,0.273686459138903,NaN,2.20716330349442,12.7289505611289,30.2633254156394,0.8,2.59104629264778,5.20003498973252,0.0908850463639158,0.545334061757259,1,1,2.87402333333333,6.407,1,0,0
aggressive-ego-noise,structured-high-gain,20260925,0.0277430104310897,0.115674427059738,0.149522987073463,NaN,3.4622800923656,17.1818101828749,36.6919705351652,0.5,2.32298377148086,3.99298196682554,0.0630415706659958,0.342690418986939,1,1,2.14525666666667,5.898,1,0,0
aggressive-ego-noise,structured-high-gain,20260926,0.0269426620303047,0.111273541308607,0.143809275635017,NaN,3.4622800923656,17.1818101828749,36.6919705351652,0.5,2.32298377148086,3.7943245847242,0.0585833048893333,0.321575786323657,1,1,2.10896,5.19,1,0,0
