samplePeriod,requestedStep,finite,positionRmseM,velocityRmseMps,accelerationRmseMps2,failureIdentifier,expectedRejection
0.02,0.005,1,0.000191173383473506,0.0165259465772987,0.0072172550160047,,0
0.02,0.02,1,0.0001911732762883,0.01652594686793,0.00721721943882655,,0
0.04,0.005,1,0.000236387693256208,0.0335337173392636,0.00874201904609304,,0
0.04,0.04,1,0.000236371520601432,0.0335336293288132,0.008741630642946,,0
0.05,0.005,1,0.000287641093268479,0.0421789352473917,0.010209129911979,,0
0.05,0.05,1,0.000287753527244152,0.0421793195229862,0.0102107348053284,,0
0.1,0.005,1,0.000934210196870008,0.0872097851330466,0.0243837810168756,,0
0.1,0.1,1,0.000934569076693994,0.0872102873234324,0.0243848237176275,,0
0.2,0.005,1,0.0166620243867403,0.216113631548627,0.182466114638435,,0
0.2,0.2,1,0.0166609740687272,0.216105962965923,0.182442202282182,,0
0.25,0.005,1,0.0529643163762726,0.361017272382139,0.426399086732324,,0
0.25,0.25,1,0.0529598368035338,0.360985120219983,0.426317796097802,,0
0.3,0.005,1,0.121943613885221,0.642120824328948,0.863040459420952,,0
0.3,0.3,1,0.121932407272562,0.642069687229459,0.862940650059924,,0
0.5,0.005,1,1.70634085290148,5.77472564588706,7.01423902816626,,0
0.5,0.5,1,1.70631104783132,5.7745924759673,7.01398624224768,,0
1,0.005,0,NaN,NaN,NaN,onlineNrmmTrackingRuntime:unstableSamplePeriod,1
1,1,0,NaN,NaN,NaN,onlineNrmmTrackingRuntime:unstableSamplePeriod,1
