caseIndex,group,scenario,curvature,parameters,completed,passed,executedHolds,failureIdentifier,failureMessage,minimumNodeGapM,minimumSampledGapM,minimumRoadMarginM,minimumDomainMargin,maximumClfResidual,maximumSlewViolation,maximumFrameMs,deadlineMisses,minimumSpeedMps,maximumAbsoluteHeadingRad
1,speed,stationary,0,"[""ReferenceSpeed"",2]",1,1,240,,"",0.100067300031346,0.0959849956707066,NaN,-2.57654825355508,-2.05730824951237e-06,0,324.31,149,-2.57654825355508,0.423632048554531
2,speed,stationary,0,"[""ReferenceSpeed"",5]",1,1,240,,"",0.100086424207828,0.100042112075211,NaN,0.0380533468222193,-3.0242945240832e-06,0,112.303,1,0.918478116570708,0.357109930980272
3,speed,stationary,0,"[""ReferenceSpeed"",12]",1,1,240,,"",0.100086406081113,0.0988782094946926,NaN,-0.065693045912696,-3.23416501345117e-06,0,42.996,0,9.2910071955574,0.455425267624501
4,speed,stationary,0,"[""ReferenceSpeed"",18]",1,1,240,,"",0.10007923769898,0.0871760783943415,NaN,-0.613183270892435,-7.04065393032476e-06,0,28.491,0,15.4090278974205,0.486915644439327
5,friction,stationary,0,"[""FrictionCoefficient"",[0.2,0.2]]",1,1,240,,"",0.100089612259797,0.0993661679195094,NaN,-0.0645330696726543,-3.44233144456558e-06,0,47.569,0,7.14288954989889,0.456434712950765
6,friction,stationary,0,"[""FrictionCoefficient"",[0.4,0.4]]",1,1,240,,"",0.100089655561919,0.100089655561919,NaN,-0.0494433524966386,-6.86849918875261e-06,0,51.191,1,6.3529841089597,0.437996247568169
7,friction,stationary,0,"[""FrictionCoefficient"",[1,1]]",1,1,240,,"",0.100086426762242,0.0992317703563516,NaN,0.00119763116560651,-3.08713021499701e-06,0,47.3,0,4.08554594316575,0.392088432232
8,samplePeriod,stationary,0,"[""SampleTime"",0.02]",1,1,240,,"",0.100087269411338,0.0999671602724712,NaN,0.0117570189887777,-8.55055783046088e-07,0,121.539,146,5.57328968244234,0.388054003352271
9,samplePeriod,stationary,0,"[""SampleTime"",0.1]",1,1,240,,"",0.200105594458463,0.197323769806966,NaN,-0.0342110376607564,-4.27470575360175e-06,0,31.2,0,3.90124167884036,0.413294480033465
10,samplePeriod,stationary,0,"[""SampleTime"",0.2]",1,1,240,,"",0.400103742380497,0.368494966844184,NaN,-0.0947544431495321,-2.97447595810613e-06,0,22.951,0,4.22457504014074,0.471683044564307
11,slew,stationary,0,"[""SteeringRateMaximum"",0.3,""BrakingRatioRateMaximum"",2]",1,1,240,,"",0.1080552296095,0.107929788782035,NaN,0.156414475252158,-2.96860920301709e-06,0,69.924,1,7.93718146312211,0.243449192375925
12,slew,stationary,0,"[""SteeringRateMaximum"",0.7,""BrakingRatioRateMaximum"",2]",1,1,240,,"",0.10942929070013,0.108619928888259,NaN,0.122657991487898,-4.18065219084552e-06,0,60.532,1,7.08989773409133,0.276953762938476
13,speed,stationary,0.01,"[""ReferenceSpeed"",2]",1,1,240,,"",0.144549171543379,0.125524335797379,NaN,-0.178062193318024,-1.98262066087342e-05,0,211.634,122,1.28162984536989,0.577867345746773
