caseIndex,group,scenario,curvature,parameters,completed,passed,executedHolds,failureIdentifier,failureMessage,minimumNodeGapM,minimumSampledGapM,minimumRoadMarginM,minimumDomainMargin,maximumClfResidual,maximumSlewViolation,maximumFrameMs,deadlineMisses,minimumSpeedMps,maximumAbsoluteHeadingRad
1,speed,stationary,0,"[""ReferenceSpeed"",2]",0,0,0,collisionAvoidanceController:optimizationFailed,"The hard-safety, soft-CLF search failed at t=0 s (Fluid initialization failed: invalidFit). No command was issued.",Inf,Inf,NaN,Inf,-Inf,0,972.218,1,2,0
2,speed,stationary,0,"[""ReferenceSpeed"",5]",1,1,240,,"",0.100084411445152,0.100034058444471,NaN,0.0398416308055029,-3.19449256416153e-06,0,278.355,4,0.925375646735882,0.355549319952293
3,speed,stationary,0,"[""ReferenceSpeed"",12]",1,1,240,,"",0.10008640630311,0.0988786112881502,NaN,-0.0656930458612545,-3.23416582252226e-06,0,127.795,1,9.29100719296442,0.455425267613298
4,speed,stationary,0,"[""ReferenceSpeed"",18]",1,1,240,,"",0.10007924590452,0.0871760721037182,NaN,-0.613183862580101,-7.04065388047388e-06,0,41.621,0,15.4090278974487,0.486915644441071
5,friction,stationary,0,"[""FrictionCoefficient"",[0.2,0.2]]",1,1,240,,"",0.100089612304298,0.0993661684244197,NaN,-0.0645330696947545,-3.44233152728141e-06,0,129.662,1,7.14288954989781,0.456434712818243
6,friction,stationary,0,"[""FrictionCoefficient"",[0.4,0.4]]",1,1,240,,"",0.100089655824959,0.100089655824959,NaN,-0.049443353890341,-6.86849919089113e-06,0,57.49,1,6.35298410883535,0.437996248064341
7,friction,stationary,0,"[""FrictionCoefficient"",[1,1]]",1,1,240,,"",0.100086425023425,0.0992317973033548,NaN,0.00119763115421212,-3.0871302661196e-06,0,58.052,1,4.0855090025648,0.3920884322087
8,samplePeriod,stationary,0,"[""SampleTime"",0.02]",1,1,240,,"",0.100087269491534,0.0999671720064261,NaN,0.0117570186359531,-8.55001171780085e-07,0,147.03,151,5.57328954508114,0.388054003774262
9,samplePeriod,stationary,0,"[""SampleTime"",0.1]",1,1,240,,"",0.100089601570043,0.0924210959046656,NaN,-0.000714428990113647,-4.27454567266388e-06,0,30.511,0,4.30915888498394,0.400220516816041
10,samplePeriod,stationary,0,"[""SampleTime"",0.2]",1,1,240,,"",0.100096069191757,0.058569044621005,NaN,-0.0540134435558832,-2.96710637268906e-06,0,29.078,0,4.52459136878611,0.430262926692669
11,slew,stationary,0,"[""SteeringRateMaximum"",0.3,""BrakingRatioRateMaximum"",2]",1,1,240,,"",0.108055260017543,0.107929817635113,NaN,0.156414475253059,-2.9686092365778e-06,0,85.513,1,7.93718146331148,0.243449192375024
12,slew,stationary,0,"[""SteeringRateMaximum"",0.7,""BrakingRatioRateMaximum"",2]",1,1,240,,"",0.109429659866467,0.108620291536373,NaN,0.122657991780651,-4.18065215004394e-06,0,54.021,1,7.08989774195901,0.276953762665471
13,speed,stationary,0.01,"[""ReferenceSpeed"",2]",0,0,0,collisionAvoidanceController:optimizationFailed,"The hard-safety, soft-CLF search failed at t=0 s (Fluid initialization failed: invalidFit). No command was issued.",Inf,Inf,NaN,Inf,-Inf,0,91.542,1,2,0.0161846267363997
14,speed,stationary,0.01,"[""ReferenceSpeed"",5]",1,1,240,,"",0.200825409405285,0.199715038249364,NaN,0.0189994378655027,-1.02987061002943e-06,0,81.831,1,0.881074994279806,0.375476731378589
15,speed,stationary,0.01,"[""ReferenceSpeed"",12]",1,1,240,,"",0.201770846316305,0.189709071146345,NaN,-0.0628546107739845,-1.45929746850077e-06,0,48.387,0,8.94120903971561,0.447567012314374
16,speed,stationary,0.01,"[""ReferenceSpeed"",18]",1,1,240,,"",0.2087828330529,0.194784528887021,NaN,-1.8999635964211,-6.20485935403335e-06,0,28.684,0,14.9740031859867,0.504635708775022
17,friction,stationary,0.01,"[""FrictionCoefficient"",[0.2,0.2]]",1,1,240,,"",0.201796866915168,0.201289534695005,NaN,-0.0772066856928786,-3.78218694067023e-06,0,55.092,1,6.95124705109222,0.466126605696844
18,friction,stationary,0.01,"[""FrictionCoefficient"",[0.4,0.4]]",1,1,240,,"",0.202243352952024,0.201629500715815,NaN,-0.0796611364481599,-3.4311692172117e-06,0,49.013,0,6.14088229914634,0.470757865917184
19,friction,stationary,0.01,"[""FrictionCoefficient"",[1,1]]",1,1,240,,"",0.200966177537409,0.20031654652369,NaN,-0.0817425177681491,-2.85973175370219e-06,0,47.442,0,4.65747809309214,0.476331805425856
20,samplePeriod,stationary,0.01,"[""SampleTime"",0.02]",1,1,240,,"",0.20021091506236,0.200200588735772,NaN,-0.0384702095214983,-1.20196249359445e-05,0,125.274,148,5.81729993321836,0.436079358853438
21,samplePeriod,stationary,0.01,"[""SampleTime"",0.1]",1,1,240,,"",0.200796907764502,0.200317483703678,NaN,-0.109032982488671,-3.73490873612033e-06,0,30.005,0,4.95396363028415,0.483532702304262
