scenario,variant,time,feasible,exitFlag,identifier,message,horizonSteps,nativeSolves,restorationSolves,finalRestorationSlack,targetPositionRadius1s,targetSpeedLower,targetSpeedUpper,targetCourseWidth,elapsedSeconds
straight_oncoming,fresh,2.2,0,-999,,Fixed-direction trajectory optimization failed: solverRejected: solver exit flag -2: Clarabel status 2; alternate directions rejected: solver exit flag -2: Clarabel status 2,56,18,6,0.00545589530864187,2.72333521376379e-13,10,10,0,0.315046
straight_oncoming,noTarget,2.2,1,1,,solver exit flag 1: Clarabel status 1,16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011458
straight_oncoming,noRoadRows,2.2,0,-999,,Fixed-direction trajectory optimization failed: solverRejected: solver exit flag -2: Clarabel status 2; alternate directions rejected: solver exit flag -2: Clarabel status 2,56,18,6,0.0112846358176689,2.72333521376379e-13,10,10,0,0.244131
straight_oncoming,noRoad,2.2,0,-999,,Fixed-direction trajectory optimization failed: solverRejected: solver exit flag -2: Clarabel status 2; alternate directions rejected: solver exit flag -2: Clarabel status 2,56,18,6,0.0112846368819955,2.72333521376379e-13,10,10,0,0.247216
straight_oncoming,predictedSuccessor,2.2,1,1,,solver exit flag 1: Clarabel status 1,56,8,1,0.0452448722015939,2.72333521376379e-13,10,10,0,0.170666
straight_oncoming,zeroEgoBounds,2.2,0,-999,,Fixed-direction trajectory optimization failed: solverRejected: solver exit flag -2: Clarabel status 2; alternate directions rejected: solver exit flag -2: Clarabel status 2,56,18,6,0.00545589530864187,2.72333521376379e-13,10,10,0,0.256613
straight_oncoming,zeroTargetBounds,2.2,0,-999,,Fixed-direction trajectory optimization failed: solverRejected: solver exit flag -2: Clarabel status 2; alternate directions rejected: solver exit flag -2: Clarabel status 2,56,18,6,0.00545589530864187,2.72333521376379e-13,10,10,0,0.255835
straight_oncoming,zeroAllBounds,2.2,0,-999,,Fixed-direction trajectory optimization failed: solverRejected: solver exit flag -2: Clarabel status 2; alternate directions rejected: solver exit flag -2: Clarabel status 2,56,18,6,0.00545589530864187,2.72333521376379e-13,10,10,0,0.249515
straight_oncoming,exactTargetMotion,2.2,0,-999,,Fixed-direction trajectory optimization failed: solverRejected: solver exit flag -2: Clarabel status 2; alternate directions rejected: solver exit flag -2: Clarabel status 2,56,18,6,0.00545589530864187,2.72333521376379e-13,10,10,0,0.25333
straight_oncoming,zeroTargetYawBound,2.2,0,-999,,Fixed-direction trajectory optimization failed: solverRejected: solver exit flag -2: Clarabel status 2; alternate directions rejected: solver exit flag -2: Clarabel status 2,56,18,6,0.00545589530864187,2.72333521376379e-13,10,10,0,0.253377
straight_oncoming,zeroTargetVelocityBound,2.2,0,-999,,Fixed-direction trajectory optimization failed: solverRejected: solver exit flag -2: Clarabel status 2; alternate directions rejected: solver exit flag -2: Clarabel status 2,56,18,6,0.00545589530864187,2.72333521376379e-13,10,10,0,0.251662
straight_oncoming,zeroTargetVelocityYawBounds,2.2,0,-999,,Fixed-direction trajectory optimization failed: solverRejected: solver exit flag -2: Clarabel status 2; alternate directions rejected: solver exit flag -2: Clarabel status 2,56,18,6,0.00545589530864187,2.72333521376379e-13,10,10,0,0.252789
straight_oncoming,zeroTargetVelocityAccelerationBounds,2.2,0,-999,,Fixed-direction trajectory optimization failed: solverRejected: solver exit flag -2: Clarabel status 2; alternate directions rejected: solver exit flag -2: Clarabel status 2,56,18,6,0.00545589530864187,2.72333521376379e-13,10,10,0,0.25175
straight_oncoming,tightVelocityBox,2.2,0,-999,,Fixed-direction trajectory optimization failed: solverRejected: solver exit flag -2: Clarabel status 2; alternate directions rejected: solver exit flag -2: Clarabel status 2,56,18,6,0.00545589530864187,2.72333521376379e-13,10,10,0,0.254143
circular_oncoming,fresh,2.2,0,-999,,Fixed-direction trajectory optimization failed: solverRejected: solver exit flag -2: Clarabel status 2; alternate directions rejected: solver exit flag -2: Clarabel status 2,56,18,6,0.0211521517228907,2.73019845862926e-13,10,10,0,0.290149
circular_oncoming,noTarget,2.2,1,1,,solver exit flag 1: Clarabel status 1,16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008649
circular_oncoming,noRoadRows,2.2,0,-999,,Fixed-direction trajectory optimization failed: solverRejected: solver exit flag -2: Clarabel status 2; alternate directions rejected: solver exit flag -2: Clarabel status 2,56,18,6,0.0534099214387128,2.73019845862926e-13,10,10,0,0.246585
circular_oncoming,noRoad,2.2,0,-999,,Fixed-direction trajectory optimization failed: solverRejected: solver exit flag -2: Clarabel status 2; alternate directions rejected: solver exit flag -2: Clarabel status 2,56,18,6,0.0534132496576006,2.73019845862926e-13,10,10,0,0.244435
circular_oncoming,predictedSuccessor,2.2,1,1,,solver exit flag 1: Clarabel status 1,56,10,2,0.0428947414130316,2.73019845862926e-13,10,10,0,0.195171
circular_oncoming,zeroEgoBounds,2.2,0,-999,,Fixed-direction trajectory optimization failed: solverRejected: solver exit flag -2: Clarabel status 2; alternate directions rejected: solver exit flag -2: Clarabel status 2,56,18,6,0.0211521517228907,2.73019845862926e-13,10,10,0,0.277039
circular_oncoming,zeroTargetBounds,2.2,0,-999,,Fixed-direction trajectory optimization failed: solverRejected: solver exit flag -2: Clarabel status 2; alternate directions rejected: solver exit flag -2: Clarabel status 2,56,18,6,0.0211521517228907,2.73019845862926e-13,10,10,0,0.275893
circular_oncoming,zeroAllBounds,2.2,0,-999,,Fixed-direction trajectory optimization failed: solverRejected: solver exit flag -2: Clarabel status 2; alternate directions rejected: solver exit flag -2: Clarabel status 2,56,18,6,0.0211521517228907,2.73019845862926e-13,10,10,0,0.277396
circular_oncoming,exactTargetMotion,2.2,0,-999,,Fixed-direction trajectory optimization failed: solverRejected: solver exit flag -2: Clarabel status 2; alternate directions rejected: solver exit flag -2: Clarabel status 2,56,18,6,0.0211521517228907,2.73019845862926e-13,10,10,0,0.279204
circular_oncoming,zeroTargetYawBound,2.2,0,-999,,Fixed-direction trajectory optimization failed: solverRejected: solver exit flag -2: Clarabel status 2; alternate directions rejected: solver exit flag -2: Clarabel status 2,56,18,6,0.0211521517228907,2.73019845862926e-13,10,10,0,0.277139
circular_oncoming,zeroTargetVelocityBound,2.2,0,-999,,Fixed-direction trajectory optimization failed: solverRejected: solver exit flag -2: Clarabel status 2; alternate directions rejected: solver exit flag -2: Clarabel status 2,56,18,6,0.0211521517228907,2.73019845862926e-13,10,10,0,0.272844
