group,scenario,curvature,uncertaintyScale,targetJerk,targetYawAcc,initialLateral,initialHeading,initialSpeed,roadBoundaries,horizonSeconds,confirmationRange,completed,passed,executedHolds,failureIdentifier,failureMessage,minNodeGap,minSampledGap,minDomainMargin,minTerminalMargin,maxClfResidual,recursiveFeasibilityGuaranteed,maxFrameMs
A-geometry,stationary,0,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",9.27750868747079e-05,9.27750868747079e-05,0.0484392372780728,0.144358308325355,-5.6297133742443e-06,1,926.329
A-geometry,stationary,0.005,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.0504806154573596,0.049917248261515,0.0379855357905356,0.0826924693798382,-5.15718804549909e-06,1,171.011
A-geometry,stationary,-0.005,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.0504806169708654,0.0499172496561141,0.0379855357803645,0.0826924698924831,-5.15719301156007e-06,1,81.989
A-geometry,stationary,0.01,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.0999688340400857,0.0994193427283945,0.00903005732784384,0.00682713017240213,-5.56650949063853e-06,1,62.085
A-geometry,stationary,-0.01,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.099968835647788,0.0994193435819225,0.00903005723811146,0.00682709064529466,-5.56650949017868e-06,1,118.834
A-geometry,stationary,0.015,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.148101367894618,0.147436673908276,-0.0210402583050862,0.00528886105636994,-1.62073451911993e-06,1,60.134
A-geometry,stationary,-0.015,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.148101367400714,0.147436672722054,-0.0210402529384672,0.00528886129090697,-1.62170411331045e-06,1,52.208
A-geometry,stationary,0.02,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.197125884065823,0.197103121930953,-0.0434319286004118,0.00309788676411701,-5.42967426110949e-06,1,54.947
A-geometry,stationary,-0.02,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.197125884221137,0.197103122254679,-0.0434319287283764,0.00309796305718679,-5.42967426109019e-06,1,53.311
A-geometry,oncoming,0,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.0477434691410842,0.0380623045468447,-0.155012419977374,0.022209259567,-5.63477921051414e-06,1,44.955
A-geometry,oncoming,0.005,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.0881219988391407,0.0852734276213375,-0.110361858897871,0.00620266810779932,-5.58846153173335e-06,1,32.662
A-geometry,oncoming,-0.005,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.0881220003639187,0.0852734287132129,-0.110361858841523,0.00620266560867724,-5.58846148372083e-06,1,35.327
A-geometry,oncoming,0.01,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.135984377510851,0.13419702655138,-0.11171121129371,1.69337843563266e-05,-5.56613605690055e-06,1,33.073
