group,scenario,curvature,uncertaintyScale,targetJerk,targetYawAcc,initialLateral,initialHeading,initialSpeed,roadBoundaries,horizonSeconds,confirmationRange,completed,passed,executedHolds,failureIdentifier,failureMessage,minNodeGap,minSampledGap,minDomainMargin,minTerminalMargin,maxClfResidual,recursiveFeasibilityGuaranteed,maxFrameMs
A-geometry,stationary,0,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",9.27880812198628e-05,9.27880812198628e-05,0.0484392360658055,0.144358305833994,-5.62971332711832e-06,1,924.461
A-geometry,stationary,0.005,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.0504822080917959,0.0499180189453504,0.0379961638370229,0.0826967584564475,-5.16764764055017e-06,1,148.584
A-geometry,stationary,-0.005,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.0504822087348851,0.0499180185782243,0.0379961635380646,0.0826967588172969,-5.16766755124869e-06,1,72.377
A-geometry,stationary,0.01,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.0999691426793876,0.0994198094170523,0.00904658102456651,0.00683066858217765,-5.56651429664867e-06,1,54.57
A-geometry,stationary,-0.01,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.0999691430859284,0.0994198146180798,0.00904658109122924,0.00683069437086939,-5.56651429714945e-06,1,108.67
A-geometry,stationary,0.015,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.14813825440733,0.147453273895292,-0.0209041467187422,1.60226368950134e-05,-1.53446527457752e-06,1,51.967
A-geometry,stationary,-0.015,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.148138254670216,0.147453274103005,-0.0209041467273533,1.60231684180612e-05,-1.53479589138326e-06,1,43.174
A-geometry,stationary,0.02,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.197217677436922,0.197185558733614,-0.0431782922481936,1.60076267093634e-05,-5.42970157971824e-06,1,43.791
A-geometry,stationary,-0.02,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.197217678688859,0.1971855595529,-0.0431782918809601,1.60076277160581e-05,-5.42970157983583e-06,1,44.215
A-geometry,oncoming,0,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.0477434911353568,0.0380623379126873,-0.155012419977374,0.022209259567,-5.63477898718805e-06,1,43.596
A-geometry,oncoming,0.005,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.101681409038304,0.0924368638284398,-0.17336733355721,0.00628579081205455,-5.59553061664974e-06,1,27.346
A-geometry,oncoming,-0.005,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.101681435351218,0.0924369054283743,-0.173367331286914,0.00628578626840329,-5.59553045979238e-06,1,29.11
A-geometry,oncoming,0.01,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.153478629745563,0.14453442784453,-0.193471021698522,0.000192304677284205,-5.55751755073775e-06,1,28.138
A-geometry,oncoming,-0.01,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.153478640097911,0.144534436252796,-0.193471018974711,0.000192250961936286,-5.55751750633697e-06,1,29.155
A-geometry,oncoming,0.015,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.201296915425048,0.192447041192962,-0.210384447366647,2.3859666429954e-05,-5.43576213795878e-06,1,27.485
A-geometry,oncoming,-0.015,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.201296917133068,0.19244704019718,-0.210384446433388,2.38596469543662e-05,-5.43576215645634e-06,1,27.061
A-geometry,oncoming,0.02,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.257532344531533,0.252651001971335,-0.225170443058918,1.67371034331121e-05,-5.42876291828688e-06,1,26.364
A-geometry,oncoming,-0.02,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.257532587214006,0.252651299994974,-0.22517048882302,1.67371057075982e-05,-5.4287629054641e-06,1,26.645
A-geometry,crossing,0,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",9.51967996780724,9.51967996780724,0.399855273069205,0.182328867606309,-5.75920307404624e-06,1,15.604
A-geometry,crossing,0.005,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.181155072800328,0.176456090554796,-0.194440021251181,0.114174862642226,-5.60168474077586e-06,1,42.103
A-geometry,crossing,-0.005,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.147101891668549,0.12208342935775,-0.190998648187343,0.03440139196068,-5.6016571071694e-06,1,43.643
A-geometry,crossing,0.01,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.170807816857908,0.156729989389565,-0.211521530416384,0.120212652307468,-5.56585697681799e-06,1,44.645
A-geometry,crossing,-0.01,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.120349678462454,0.0848071639590904,-0.257722358426317,1.60827747208991e-05,-5.56650564509425e-06,1,42.654
A-geometry,crossing,0.015,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.169243751862128,0.169046985641377,-0.235232596740972,0.0269771704345951,-5.50106856742178e-06,1,41.079
A-geometry,crossing,-0.015,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.131075623425232,0.112119674067389,-0.258309424798273,1.61424109476893e-05,-5.50108522177408e-06,1,42.933
A-geometry,crossing,0.02,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.241881787577011,0.235700984323104,-0.286704124321209,1.60852353876806e-05,-5.13357279766655e-06,1,44.591
A-geometry,crossing,-0.02,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.18992469048732,0.184308481834726,-0.206470659718862,0.115951174930081,-5.44092090773274e-06,1,48.162
A-geometry,cruise,0,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",Inf,Inf,0.4,0.182404774938027,-6.47797762224375e-06,1,16.289
A-geometry,cruise,0.005,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",Inf,Inf,0.394307564252542,0.178097737044017,-6.39420389047544e-06,1,11.668
A-geometry,cruise,-0.005,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",Inf,Inf,0.394307564252542,0.178097737044017,-6.39420389063877e-06,1,11.191
A-geometry,cruise,0.01,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",Inf,Inf,0.388683946493582,0.173699805417371,-6.32227979509372e-06,1,10.783
A-geometry,cruise,-0.01,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",Inf,Inf,0.388683946493582,0.173699805417372,-6.32227979502058e-06,1,10.683
A-geometry,cruise,0.015,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",Inf,Inf,0.383133853101341,0.169217105525512,-6.20526716415287e-06,1,11.764
A-geometry,cruise,-0.015,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",Inf,Inf,0.383133853101341,0.169217105525513,-6.20526716415395e-06,1,10.91
A-geometry,cruise,0.02,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",Inf,Inf,0.377662596358971,0.164656290524047,-6.08161843054586e-06,1,13.007
A-geometry,cruise,-0.02,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",Inf,Inf,0.377662596358971,0.164656290524046,-6.08161843054265e-06,1,11.546
B-uncertainty,stationary,0,1,0.02,0,0,0,0,0,1.6,16,1,1,240,,"",0.326637418443041,0.326570885251048,-0.0217722951745439,0.0765703328412723,-5.05726142887554e-05,1,48.829
B-uncertainty,stationary,0,3,0.06,0,0,0,0,0,1.6,16,1,1,240,,"",0.981557089703787,0.981183453947043,-0.165179107099042,1.60250871969747e-05,-0.000274850012335209,1,42.82
B-uncertainty,stationary,0,10,0.2,0,0,0,0,0,1.6,16,0,0,0,collisionAvoidanceController:optimizationFailed,"The hard-safety, soft-CLF search failed at t=0 s (Fixed-direction trajectory optimization failed: solverRejected: solver exit flag -2: Clarabel status 2). No command was issued.",Inf,Inf,Inf,NaN,NaN,0,42.25
B-uncertainty,stationary,0.01,1,0.02,0,0,0,0,0,1.6,16,1,1,240,,"",0.425993202115247,0.425474220328254,-0.0555310258539786,1.60110482528286e-05,-0.000366501514738676,1,95.409
B-uncertainty,stationary,0.01,3,0.06,0,0,0,0,0,1.6,16,1,1,240,,"",0.160171291954592,0.159940761820144,0.104061134410593,1.62999660602153e-05,-0.00275838316395571,1,43.283
B-uncertainty,stationary,0.01,10,0.2,0,0,0,0,0,1.6,16,0,0,0,collisionAvoidanceController:optimizationFailed,"The hard-safety, soft-CLF search failed at t=0 s (Fixed-direction trajectory optimization failed: solverRejected: solver exit flag -2: Clarabel status 2). No command was issued.",Inf,Inf,Inf,NaN,NaN,0,38.926
B-uncertainty,oncoming,0,1,0.02,0,0,0,0,0,1.6,16,1,1,240,,"",0.351145766942107,0.334981230530293,-0.210634275858648,0.0161859689983826,-3.15167476707167e-05,1,29.811
B-uncertainty,oncoming,0,3,0.06,0,0,0,0,0,1.6,16,1,1,240,,"",0.939629170952096,0.934290293613324,-0.281362564831814,0.0261065914631134,-0.000146313052037886,1,29.02
B-uncertainty,oncoming,0,10,0.2,0,0,0,0,0,1.6,16,1,1,240,,"",2.9224142959422,2.92016624741538,-0.502975803604653,1.60021745775341e-05,-0.00121197821996993,1,30.547
B-uncertainty,oncoming,0.01,1,0.02,0,0,0,0,0,1.6,16,1,1,240,,"",0.501792587436111,0.494217305217612,-0.256764104734395,1.60152418980097e-05,-0.000364826833485541,1,29.866
B-uncertainty,oncoming,0.01,3,0.06,0,0,0,0,0,1.6,16,1,1,240,,"",0.151515166747889,0.150166445723552,-0.123414760637058,1.60034554355926e-05,-0.00275633679290806,1,29.137
B-uncertainty,oncoming,0.01,10,0.2,0,0,0,0,0,1.6,16,1,1,240,,"",0.309985579299763,0.308311108107982,-0.0367631753444553,1.6059534602042e-05,-0.0287273431863079,1,29.629
B-uncertainty,crossing,0,1,0.02,0,0,0,0,0,1.6,16,1,1,240,,"",9.51962498766101,9.51962498766101,0.399745535118349,0.173377897200591,-2.20113094748928e-05,1,15.106
B-uncertainty,crossing,0,3,0.06,0,0,0,0,0,1.6,16,1,1,240,,"",9.51947427336828,9.51947427336828,0.39911993417433,0.155355199488186,-8.09013432343043e-05,1,13.695
B-uncertainty,crossing,0,10,0.2,0,0,0,0,0,1.6,16,1,1,240,,"",9.5189566350206,9.5189566350206,0.397115906209506,0.0922437614377799,-0.000579640693473887,1,13.915
B-uncertainty,crossing,0.01,1,0.02,0,0,0,0,0,1.6,16,1,1,240,,"",0.435862972490017,0.435862972490017,-0.261112836251797,0.0700046139460776,-0.000364883346149157,1,44.424
B-uncertainty,crossing,0.01,3,0.06,0,0,0,0,0,1.6,16,1,1,240,,"",1.35192506905003,1.3482441169078,-0.92241252710752,1.60062755733548e-05,-0.00275940535769732,1,43.311
B-uncertainty,crossing,0.01,10,0.2,0,0,0,0,0,1.6,16,0,0,0,collisionAvoidanceController:optimizationFailed,"The hard-safety, soft-CLF search failed at t=0 s (Fixed-direction trajectory optimization failed: solverRejected: solver exit flag -2: Clarabel status 2). No command was issued.",Inf,Inf,Inf,NaN,NaN,0,36.815
C-targetJerk,oncoming,0,0,0.1,0,0,0,0,0,1.6,16,1,1,240,,"",0.3249657686039,0.324335829710128,-0.127996752083957,0.0495566544032406,-5.61833341547553e-06,1,26.825
C-targetJerk,oncoming,0,0,0.5,0,0,0,0,0,1.6,16,1,1,240,,"",0.240586244564237,0.208036641038294,0.372967250785172,0.177007160645781,-5.56645186777316e-06,1,23.985
C-targetJerk,oncoming,0,0,1,0,0,0,0,0,1.6,16,1,1,240,,"",2.34117586342413,2.34000888387414,0.399943516646521,0.182364244081519,-4.22334270948759e-06,1,20.823
C-targetYawAcc,oncoming,0,0,0,0.1,0,0,0,0,1.6,16,1,1,240,,"",0.638612917364513,0.637927782365988,-0.280808393833478,1.61522849828066e-05,-5.64929263509025e-06,1,28.058
C-targetYawAcc,oncoming,0,0,0,0.5,0,0,0,0,1.6,16,1,1,240,,"",0.406791093552467,0.339312869144606,-0.850491676433241,1.61724939434782e-05,-5.52382004512296e-06,1,26.48
C-targetJerk,crossing,0,0,0.1,0,0,0,0,0,1.6,16,1,1,240,,"",9.52022098471171,9.52022098471171,0.399855725621519,0.182329098182035,-5.75995452553524e-06,1,13.023
C-targetJerk,crossing,0,0,0.5,0,0,0,0,0,1.6,16,1,1,240,,"",9.52238577956039,9.52238577956039,0.399856322127456,0.182329399622414,-5.7608900892316e-06,1,14.109
C-targetJerk,crossing,0,0,1,0,0,0,0,0,1.6,16,1,1,240,,"",9.52509203528515,9.52509203528515,0.399857073541974,0.182329781640391,-5.76207982005e-06,1,13.99
C-targetYawAcc,crossing,0,0,0,0.1,0,0,0,0,1.6,16,1,1,240,,"",9.52911006026076,9.52911006026076,0.399855765419841,0.182329118085159,-5.76001750339824e-06,1,13.512
C-targetYawAcc,crossing,0,0,0,0.5,0,0,0,0,1.6,16,1,1,240,,"",9.56716897535512,9.56716897535512,0.399855880689674,0.182329176317846,-5.76020483498316e-06,1,13.073
