case,seed,duration,positionRmse,velocityRmse,accelerationRmse,targetHeadingRmse,egoPositionRmse,egoVelocityRmse,egoYawRmse,positionStartupPeak,positionPostTransientPeak,bodyVelocityStartupPeak,accelerationStartupPeak,accelerationPostTransientPeak,positionSettleTo015MSeconds,domainValidFraction,speedViolationFraction,scalarAccelerationViolationFraction,curvatureViolationFraction,rangeViolationFraction,boundContainmentFraction,boundMeanM,boundMaximumM,boundMinimumSlackM,stepMedianMs,stepP95Ms,stepMaximumMs,deadlineMisses,curvatureLagS,bandwidthPerS,outagePositionPeakM,postReacquisitionAccelerationPeakMps2,positionRecoveryTo015MSeconds,passTimeS,positionErrorPeakAroundPassM,accelerationErrorPeakAroundPassMps2
retained-noise-free,101,12,0.00012256153939922562,0.015312185506523877,0.006450728990559867,0.0011062532688279867,0.005148055980547964,0.0113292708307427,0.0008530679740492621,1.118033988749895,0.0010245704944979981,3.740303881563421,5.026198775666696,0.02137815229668779,0.5,1.0,0.0,0.0,0.0,0.0,1.0,1.6493875282843027,1.67611568535174,1.4446022688960254,2.311,2.5654499999999993,326.199,3,,2.5910462926477833,,,,,,
retained-noise,101,12,0.029825123394595452,0.12280469834922968,0.18678914652762416,0.0051652210121878915,0.013580488135931741,0.01051788251274569,0.0008852769421691516,1.118033988749895,0.07176727727789764,3.744240786898805,5.118588651841755,0.40625967301414495,0.5,1.0,0.0,0.0,0.0,0.0,1.0,1.7038670407411267,1.78582220089962,1.3934449386039602,2.226,2.6513999999999998,9.915000000000001,0,,2.5910462926477833,,,,,,
retained-noise,102,12,0.02941728496842323,0.12294675838875302,0.1865805047899575,0.006201255226357661,0.012086750277729236,0.012075363922017624,0.0008825819102540839,1.118033988749895,0.06932878718121627,3.8286557236003635,5.0807765257088064,0.482807194907991,0.5,1.0,0.0,0.0,0.0,0.0,1.0,1.7042577750318384,1.79080247543693,1.3996430977266463,2.178,2.54125,5.854,0,,2.5910462926477833,,,,,,
retained-noise,103,12,0.027186369436762683,0.11253551515753782,0.17180695711303576,0.005206969749359163,0.011851049770952839,0.012196563095370443,0.0008706364640348067,1.118033988749895,0.06174537061102142,3.7805227126642924,5.045025844210442,0.42614074110792566,0.48,1.0,0.0,0.0,0.0,0.0,1.0,1.7017804742629095,1.77351008901704,1.3765069171930229,2.1315,2.3090499999999996,5.2139999999999995,0,,2.5910462926477833,,,,,,
retained-noise,104,12,0.026777670749402,0.1137624178784761,0.17416625865595947,0.004943544212089263,0.011642964108127683,0.012096386192105912,0.0008760708242667058,1.118033988749895,0.06302783432901778,3.7463718379633777,5.071562592347713,0.40317711100946924,0.5,1.0,0.0,0.0,0.0,0.0,1.0,1.7046131917825555,1.77712034856879,1.3522089401343143,2.1155,2.3991499999999997,5.093,0,,2.5910462926477833,,,,,,
retained-noise,105,12,0.02999520479855947,0.12380990534443508,0.1873837480545144,0.005509071349029327,0.012501716468611397,0.01090575046542727,0.0008461658891364833,1.118033988749895,0.07853629667284193,3.688218460664508,4.9871131504969695,0.46460034718081783,0.5,1.0,0.0,0.0,0.0,0.0,1.0,1.7037410664517671,1.77921060976197,1.3697742408822948,2.1189999999999998,2.3305,5.319,0,,2.5910462926477833,,,,,,
retained-noise,106,12,0.0317195229343768,0.13243414732622355,0.20136890339480829,0.005898123411702011,0.013286128543824337,0.01222174322945122,0.0008942838976871382,1.118033988749895,0.07129870845428375,3.849261866357861,5.133896331854387,0.4459051335290692,0.5,1.0,0.0,0.0,0.0,0.0,1.0,1.704346238791652,1.78795356449455,1.402862241794657,2.139,2.31405,5.11,0,,2.5910462926477833,,,,,,
retained-noise,107,12,0.030439039096710502,0.12427082047719434,0.18846154163454348,0.0055162002292655525,0.01045237701172611,0.011137366989464381,0.0008433506476989157,1.118033988749895,0.06624740739157076,3.688904972118131,5.015627347720287,0.36782246255799655,0.54,1.0,0.0,0.0,0.0,0.0,1.0,1.7049369835988153,1.78901748083974,1.3944093144290501,2.1445,2.3610999999999995,5.21,0,,2.5910462926477833,,,,,,
retained-noise,108,12,0.031159345411979317,0.12651812791457567,0.19236036390325492,0.006176644959919962,0.012850331612494284,0.01168809823963855,0.0008813630205796339,1.118033988749895,0.06479192401346366,3.893185197534821,5.163571141612783,0.4202542275390066,0.52,1.0,0.0,0.0,0.0,0.0,1.0,1.7046147935784113,1.78709139400092,1.389330015357296,2.125,2.3141499999999997,5.263,0,,2.5910462926477833,,,,,,
retained-noise,109,12,0.02895071735299212,0.11820587445024733,0.18090408305538008,0.005363908884771541,0.010818434955037072,0.011077082178442617,0.0008543787729232725,1.118033988749895,0.06808231859739164,3.6772920759220074,4.955692424978329,0.38751716488452836,0.5,1.0,0.0,0.0,0.0,0.0,1.0,1.7051453495325652,1.77231345761032,1.366651192382347,2.113,2.4589999999999996,5.324,0,,2.5910462926477833,,,,,,
