Case,Estimator,Seed,PositionRmse,PositionMaximum,PositionStartupMaximum,VelocityRmse,VelocityMaximum,VelocityStartupMaximum,AccelerationRmse,AccelerationMaximum,AccelerationStartupMaximum,DomainValidFraction,CurvatureLagS,PositionBoundMeanM,PositionBoundContainmentFraction,MinimumPositionBoundSlackM,MedianStepMs,P95StepMs,MaximumStepMs
retained-noise-free,baseline-high-gain,71,7.918250255126136e-06,5.31386526146652e-05,1.118033988749895,0.015064105847330369,0.020493266645149538,10.488337365559955,0.005706414727331231,0.020824109918868614,34.822781905063856,1,,1.6493488914628291,1.0,1.2563155815277087,2.3040000000000003,16.69155,36.513
retained-noise-free,structured-high-gain,71,0.00012256153939922562,0.0010245704944979981,1.118033988749895,0.015312185506523877,0.023257027125052798,3.904178453050055,0.006450728990559867,0.02137815229668779,5.026198775666696,1,,1.6493875282843027,1.0,1.4446022688960254,2.191,2.3371,6.329000000000001
retained-noise,baseline-high-gain,71,0.0481710173796272,0.1129165346763479,1.118033988749895,0.49176472387723946,1.1705006837041847,10.686931579444906,1.869823677762948,4.2727274848064205,34.7792851840407,0.5848303393213573,,1.694534416879506,1.0,1.2202456114861746,2.197,2.3162,5.986
retained-noise,baseline-high-gain,72,0.04800399093701309,0.11050845999008999,1.118033988749895,0.4803025465825327,1.11071802227464,10.410447458930912,1.815712491500747,4.289156279782775,34.33069587202675,0.6407185628742516,,1.6931084504090612,1.0,1.2188581196503807,2.2264999999999997,2.3911499999999997,6.0280000000000005
retained-noise,baseline-high-gain,73,0.047351653484994094,0.10984087065164973,1.118033988749895,0.48998701051114807,1.3025803504756968,10.522992274932175,1.8670638907920463,5.048470429965501,35.281554386012694,0.6107784431137725,,1.694880583701393,1.0,1.2269171850734915,2.19,2.31105,6.235
retained-noise,baseline-high-gain,74,0.045178030921794794,0.11108068637972716,1.118033988749895,0.4568881045821593,1.0634883190989795,10.73122934435119,1.7323933573367014,3.972237427835528,35.66947076954638,0.6606786427145709,,1.6924113941325751,1.0,1.2236880663033813,2.186,2.2870999999999997,6.021
retained-noise,baseline-high-gain,75,0.04541586357455659,0.10874440046571589,1.118033988749895,0.4640054226718232,1.0983358675830108,10.433954621119971,1.759674181621941,4.147932400444092,34.98893303065322,0.626746506986028,,1.6943122075561494,1.0,1.1861839512706844,2.181,2.319,5.949000000000001
retained-noise,baseline-high-gain,76,0.04896566619122442,0.10309159178453872,1.118033988749895,0.49053388330429987,1.0781959841860542,10.203485480622966,1.8596944532505875,4.053117692826163,33.88816945623566,0.6187624750499002,,1.6946049917545472,1.0,1.253376636889949,2.1895,2.30305,5.861
retained-noise,baseline-high-gain,77,0.04957083409139139,0.10776630835295781,1.118033988749895,0.4978538119472305,1.2595650779290442,10.096731895866503,1.8843128123012771,4.835480331883114,33.79383944798236,0.6347305389221557,,1.6927486538648584,1.0,1.2353127957335384,2.17,2.286,6.843
retained-noise,baseline-high-gain,78,0.04844340485164438,0.1008285749487602,1.118033988749895,0.4834800208946103,1.1320172329959715,10.950182274312818,1.8294260139983638,4.113918661703488,34.37144616577029,0.6347305389221557,,1.6928173927641452,1.0,1.1758674447795319,2.156,2.2570999999999994,5.9430000000000005
