scenario,roadCurvature,targetCurvature,uncertaintyScale,variant,horizonSeconds,support1s,support2s,support3s,support4s,support4p8s,exitSupport,targetBoxHalfWidth4p8s,reserveSteer,reserveBrake
crossing,0.01,0,1,cartesian-egoOnly,4.8,0.517559090816242,0.815185132324677,1.19434067793345,1.925723770807,2.63290467540927,2.71316529371136,1.51688320000038,0.189843520831449,0.183074803712971
crossing,0.01,0,1,nrmm-boxOnly,4.8,0.507352818339285,0.728027826085179,0.931662998911106,1.23063015667597,1.42450879223616,1.44976344517296,0.458360676045015,0.189843520831449,0.183074803712971
crossing,0.01,0,1,nrmm-egoOnly,4.8,0.507337540705825,0.727896645976696,0.931265479551555,1.2295724990831,1.42266207088625,1.44783266139614,0.456742997458413,0.189843520831449,0.183074803712971
crossing,0.01,0,1,nrmm-reactive30,4.8,0.506146115801205,0.702833125324196,0.949678056969933,1.25925614942698,1.46498692917141,1.48697815743275,0.456742997458413,0.189853694120963,0.211437502921804
crossing,0.01,0,1,nrmm-reactive100,4.8,0.508364673649923,0.711321505613278,0.959669380870011,1.26842387507754,1.47377024622091,1.49537335890528,0.456742997458413,0.189846450183011,0.19213602537658
crossing,0.01,0,3,cartesian-egoOnly,4.8,0.848104930253502,1.31599718490493,1.79402840244427,2.78809872136825,3.67220576456331,3.79977518332572,2.42728320000039,0.189843520831449,0.183074803712971
crossing,0.01,0,3,nrmm-boxOnly,4.8,0.838177372422965,1.23125329891641,1.53872590980307,2.11279297926761,2.49859231302647,2.57273905651631,1.39922915730818,0.189843520831449,0.183074803712971
crossing,0.01,0,3,nrmm-egoOnly,4.8,0.838014055008335,1.22983557789813,1.53438274203937,2.10111145079258,2.47801881713428,2.55122905875561,1.38120732431318,0.189843520831449,0.183074803712971
crossing,0.01,0,3,nrmm-reactive30,4.8,0.85044679502993,1.20229597325792,1.65883554593115,2.2885631530335,2.72957938718892,2.7956705437452,1.38120732431318,0.189919865669734,0.241299689204582
crossing,0.01,0,3,nrmm-reactive100,4.8,0.852203025814846,1.21193168375169,1.66991224454758,2.2985458326303,2.73903784092537,2.80458996428954,1.38120732431318,0.189864031748466,0.201768752104634
