scenario,roadCurvature,targetCurvature,uncertaintyScale,variant,completed,passed,executedHolds,failureIdentifier,failureMessage,minNodeGap,minSampledGap,minTerminalMargin,maxClfResidual,reactiveAdmissions,cartesianJerk,maxFrameMs
stationary,0,0,1,cartesian,1,1,240,,,1.02929554548589,1.02885867325342,1.60726268896016e-05,-0.00167638480314838,0,0,951.699
stationary,0,0,1,nrmm-boxOnly,1,1,240,,,0.749457011526173,0.749140185233952,0.0152647280856799,-0.00167638316148102,0,NaN,338.524
stationary,0,0,1,nrmm-egoOnly,1,1,240,,,0.746218169891975,0.745904031422284,0.0153757626514622,-0.00167638315623336,0,NaN,151.456
stationary,0,0,1,nrmm-reactive,1,1,240,,,0.915900354335324,0.915443712587857,1.60396292311071e-05,-0.00167638451148331,1,NaN,590.477
stationary,0,0,3,cartesian,1,1,240,,,1.81482532167271,1.8144162389065,1.60076456545422e-05,-0.00167638703772556,0,0,237.881
stationary,0,0,3,nrmm-boxOnly,1,1,240,,,1.2151474554072,1.2151474554072,1.60461660440037e-05,-0.00167638495245578,0,NaN,190.365
stationary,0,0,3,nrmm-egoOnly,1,1,240,,,1.20296903387848,1.20296903387848,1.60181867765175e-05,-0.00167638496719157,0,NaN,141.332
stationary,0,0,3,nrmm-reactive,1,1,240,,,1.8446618207126,1.84415509045164,1.6002541694371e-05,-0.00167638831995713,1,NaN,417.445
stationary,0,0,10,cartesian,1,1,240,,,2.91543755633497,2.91543755633497,1.6001779472502e-05,-0.00167639034430968,0,0,183.948
stationary,0,0,10,nrmm-boxOnly,1,1,240,,,4.39904791465021,4.39895853711075,1.60008407647794e-05,-0.00167639087162278,0,NaN,176.847
stationary,0,0,10,nrmm-egoOnly,1,1,240,,,4.3424688119297,4.34155418215762,1.60008807409129e-05,-0.00167639088594239,0,NaN,188.201
stationary,0,0,10,nrmm-reactive,1,1,240,,,5.43808898541606,5.43796861922666,1.60006775389715e-05,-0.00167636225037983,2,NaN,449.121
stationary,0.01,0,1,cartesian,1,1,240,,,1.09567209462356,1.09563866200708,1.60520375880185e-05,-0.0459270682025271,0,0,199.377
stationary,0.01,0,1,nrmm-boxOnly,1,1,240,,,1.06314028823488,1.06311442464174,1.63098067735706e-05,-0.045949643130431,0,NaN,232.634
stationary,0.01,0,1,nrmm-egoOnly,1,1,240,,,1.05946170043471,1.0594390655428,1.64152198100925e-05,-0.0459526459247833,0,NaN,219.903
stationary,0.01,0,1,nrmm-reactive,1,1,240,,,1.28348549463852,1.28348549463852,1.6044624903816e-05,-0.0458805051217011,1,NaN,466.438
stationary,0.01,0,3,cartesian,1,1,240,,,1.72478637091002,1.72463276829642,1.60394100898603e-05,-0.0458042441025659,0,0,201.784
stationary,0.01,0,3,nrmm-boxOnly,1,1,240,,,1.62025166347631,1.62023702992356,1.60574512927808e-05,-0.0458064813904103,0,NaN,283.698
stationary,0.01,0,3,nrmm-egoOnly,1,1,240,,,1.60769905768884,1.60764449819818,1.60661990008942e-05,-0.0458121174598205,0,NaN,133.221
stationary,0.01,0,3,nrmm-reactive,1,1,240,,,2.30211964712057,2.301683455394,1.60042675404204e-05,-0.0453433970669588,1,NaN,351.579
stationary,0.01,0,10,cartesian,1,1,240,,,3.13595534755133,3.1355366477724,1.60006887493652e-05,-0.04478847653554,0,0,209.225
stationary,0.01,0,10,nrmm-boxOnly,1,1,240,,,3.09319726092764,3.09186120413338,1.60003406814296e-05,-0.0441769228024537,0,NaN,176.51
stationary,0.01,0,10,nrmm-egoOnly,1,1,240,,,3.04554837445098,3.04554837445098,1.60003134829084e-05,-0.0443388346194213,0,NaN,136.153
stationary,0.01,0,10,nrmm-reactive,1,1,240,,,4.54173416959561,4.54078871360833,1.58876622610576e-05,-0.0435856812721146,2,NaN,360.269
oncoming,0,0,1,cartesian,1,1,240,,,0.713648135186074,0.713648135186074,1.60046465616792e-05,-0.00167633727859614,0,0.4608,766.848
oncoming,0,0,1,nrmm-boxOnly,1,1,240,,,0.603818926683045,0.594565284986871,1.60235946523868e-05,-0.00167631930367086,0,NaN,243.86
oncoming,0,0,1,nrmm-egoOnly,1,1,240,,,0.602584120481747,0.593321579947407,1.60229272932189e-05,-0.00167631929186923,0,NaN,122.101
oncoming,0,0,1,nrmm-reactive,1,1,240,,,0.605598859798345,0.596238525778431,1.60215047832757e-05,-0.00167631983223082,1,NaN,265.569
oncoming,0,0,3,cartesian,1,1,240,,,0.995783608469204,0.994757536751484,1.6017666694651e-05,-0.00167639248620068,0,0.4608,124.246
oncoming,0,0,3,nrmm-boxOnly,1,1,240,,,0.857841986640521,0.848391951903077,1.6068923736276e-05,-0.00167638080079202,0,NaN,181.559
oncoming,0,0,3,nrmm-egoOnly,1,1,240,,,0.853716417956168,0.844220791801167,1.60569576859032e-05,-0.00167638068094131,0,NaN,106.478
oncoming,0,0,3,nrmm-reactive,1,1,240,,,0.866961872425971,0.857459561840471,1.60285162492946e-05,-0.00167638128355129,1,NaN,242.865
oncoming,0,0,10,cartesian,1,1,240,,,2.29620476507221,2.27530378316688,1.6001731634685e-05,-0.00167629777559788,0,0.4608,109.855
oncoming,0,0,10,nrmm-boxOnly,1,1,240,,,1.93946262603355,1.93040161266446,1.60020589563825e-05,-0.00167633535818693,0,NaN,141.585
oncoming,0,0,10,nrmm-egoOnly,1,1,240,,,1.9165633440065,1.90818945583685,1.60041526352794e-05,-0.00167633417652652,0,NaN,117.871
oncoming,0,0,10,nrmm-reactive,1,1,240,,,2.0290022805242,2.00639361999784,1.59516257381281e-05,-0.00167633474615352,1,NaN,300.406
oncoming,0,0.02,1,cartesian,1,1,240,,,5.66494733248677,5.66494733248677,0.0937692173216959,-0.00167637436005827,0,0.4608,92.666
oncoming,0,0.02,1,nrmm-boxOnly,1,1,240,,,5.66494682339985,5.66494682339985,0.0937692173216959,-0.0016763743600129,0,NaN,102.489
oncoming,0,0.02,1,nrmm-egoOnly,1,1,240,,,5.66494675852743,5.66494675852743,0.0937692173216959,-0.00167637436000751,0,NaN,254.615
oncoming,0,0.02,1,nrmm-reactive,1,1,240,,,5.66489846812814,5.66489846812814,0.0937692173216959,-0.00167637435986178,1,NaN,378.189
