scenario,roadCurvature,targetCurvature,uncertaintyScale,variant,horizonSeconds,support1s,support2s,support3s,support4s,support4p8s,exitSupport,targetBoxHalfWidth4p8s,reserveSteer,reserveBrake
crossing,0.01,0,1,cartesian-egoOnly,4.8,0.517559090816242,0.815185132324677,1.19434067793345,1.925723770807,2.63290467540927,2.71316529371136,1.51688320000038,0.189843520831449,0.183074803712971
crossing,0.01,0,1,nrmm-boxOnly,4.8,0.545948799091247,0.819107423415614,1.06561944696868,1.44723724777884,1.70299365556597,1.74064060183113,0.702975374758858,0.189843520831449,0.183074803712971
crossing,0.01,0,1,nrmm-egoOnly,4.8,0.516855850048005,0.750648001342026,0.965157394418647,1.28481487116033,1.49415894124053,1.52244315254706,0.519704124434482,0.189843520831449,0.183074803712971
crossing,0.01,0,1,nrmm-reactive30,4.8,0.506137115943432,0.702796294806497,0.949600181091683,1.25918234474862,1.46491470807199,1.48690897162347,0.519704124434482,0.189854202291458,0.211515405370901
crossing,0.01,0,1,nrmm-reactive100,4.8,0.508361667199683,0.711309398645925,0.959644526179987,1.26840036411479,1.47374727698696,1.49535136022792,0.519704124434482,0.189846613315727,0.192162760730403
crossing,0.01,0,3,cartesian-egoOnly,4.8,0.848104930253502,1.31599718490493,1.79402840244427,2.78809872136825,3.67220576456331,3.79977518332572,2.42728320000039,0.189843520831449,0.183074803712971
crossing,0.01,0,3,nrmm-boxOnly,4.8,0.97203758334323,1.55524989014762,2.0273071341783,2.91606513345407,3.54549576492921,3.66457842221385,2.32269075322359,0.189843520831449,0.183074803712971
crossing,0.01,0,3,nrmm-egoOnly,4.8,0.875397714502396,1.32267052023008,1.67777851329088,2.3402813002955,2.79334650680252,2.8795870422894,1.66054200774648,0.189843520831449,0.183074803712971
crossing,0.01,0,3,nrmm-reactive30,4.8,0.850399547152602,1.20215774739654,1.65828423794959,2.28799776358774,2.72898592606073,2.79510035458493,1.66054200774648,0.189943746228735,0.241919344686785
crossing,0.01,0,3,nrmm-reactive100,4.8,0.852187560197135,1.21188648006571,1.66973855719807,2.29836871282788,2.73885256108079,2.80441222702202,1.66054200774648,0.189871942090633,0.201983866111092
crossing,0.01,0,10,cartesian-egoOnly,4.8,2.00501536828391,3.0688393689358,3.89293543823218,5.80641104833265,7.30975957660246,7.60290979697599,5.61368320000044,0.189843520831449,0.183074803712971
crossing,0.01,0,10,nrmm-boxOnly,4.8,2.70478893226604,4.89281669290961,6.82299674825041,10.8208169167599,14.0542654040602,14.6164458912294,11.6111156427893,0.189843520831449,0.183074803712971
crossing,0.01,0,10,nrmm-egoOnly,4.8,2.23950209725062,3.65585568092336,4.77691041299104,7.17703003116799,8.99283773784888,9.34540508349898,7.12850575698546,0.189843520831449,0.183074803712971
crossing,0.01,0,10,nrmm-reactive30,4.8,2.16980169754103,3.30486985630289,4.73385058269673,7.01033724772544,8.78172898938482,9.06196528200959,7.12850575698546,0.199606798341845,0.423873718987057
crossing,0.01,0,10,nrmm-reactive100,4.8,2.16651467582269,3.3027834063178,4.7565021797762,7.03408040115419,8.8038199496037,9.08231163747252,7.12850575698546,0.192492592780436,0.256825963572051
crossing,0.01,0.02,1,cartesian-egoOnly,4.8,0.516042073549117,0.920882344890772,1.21049370409558,1.91732572005842,2.61326002090733,2.65633710970462,1.51688320000039,0.189843520831449,0.183074803712971
crossing,0.01,0.02,1,nrmm-boxOnly,4.8,0.559077659601529,0.993552345837621,1.21345308453262,1.70741004852692,2.08430919256094,2.11279695561042,1.08533370528672,0.189843520831449,0.183074803712971
crossing,0.01,0.02,1,nrmm-egoOnly,4.8,0.525531004378003,0.897229100410726,1.06879956624413,1.46434142440642,1.75784490743629,1.77910398814507,0.78584369100613,0.189843520831449,0.183074803712971
crossing,0.01,0.02,1,nrmm-reactive30,4.8,0.515102208054477,0.810668188211747,1.05173047922467,1.42144139372722,1.70194633384902,1.71051542458321,0.78584369100613,0.189857467540958,0.210006719692017
