scenario,roadCurvature,targetCurvature,uncertaintyScale,variant,completed,passed,executedHolds,failureIdentifier,failureMessage,minNodeGap,minSampledGap,minTerminalMargin,maxClfResidual,reactiveAdmissions,cartesianJerk,maxFrameMs
stationary,0,0,1,cartesian,1,1,240,,,1.02929554548589,1.02885867325342,1.60726268896016e-05,-0.00167638480314838,0,0,943.684
stationary,0,0,1,nrmm-boxOnly,1,1,240,,,0.956835391824302,0.956222210524024,1.60532216501863e-05,-0.00167638467117168,0,NaN,247.508
stationary,0,0,1,nrmm-egoOnly,1,1,240,,,0.891502976592083,0.890702732944561,1.60502128428719e-05,-0.00167638426170804,0,NaN,215.066
stationary,0,0,1,nrmm-reactive,1,1,240,,,0.913200519967098,0.912318345332249,1.63027748668332e-05,-0.00167638435469816,1,NaN,675.753
stationary,0,0,3,cartesian,1,1,240,,,1.81482532167271,1.8144162389065,1.60076456545422e-05,-0.00167638703772556,0,0,745.212
stationary,0,0,3,nrmm-boxOnly,1,1,240,,,2.02954043685267,2.02954043685267,1.60029304032971e-05,-0.00167638835113402,0,NaN,197.478
stationary,0,0,3,nrmm-egoOnly,1,1,240,,,1.75956326917949,1.75933058713873,1.60073257002569e-05,-0.00167638772933603,0,NaN,149.958
stationary,0,0,3,nrmm-reactive,1,1,240,,,1.86505172748688,1.86464221297661,1.60033814793903e-05,-0.0016763880641522,1,NaN,489.733
stationary,0,0,10,cartesian,1,1,240,,,2.91543755633497,2.91543755633497,1.6001779472502e-05,-0.00167639034430968,0,0,257.973
stationary,0,0,10,nrmm-boxOnly,1,1,240,,,4.44283916907161,4.44280249661495,1.60007788884975e-05,-0.00167635719159557,0,NaN,156.117
stationary,0,0,10,nrmm-egoOnly,1,1,240,,,5.18968548500028,5.18950499681581,1.60004858447971e-05,-0.00167637670804609,0,NaN,163.62
stationary,0,0,10,nrmm-reactive,1,1,240,,,5.35555449575768,5.3542404978664,1.59891328520984e-05,-0.00167637114364837,2,NaN,446.371
stationary,0.01,0,1,cartesian,1,1,240,,,1.09567209462356,1.09563866200708,1.60520375880185e-05,-0.0459270682025271,0,0,241.167
stationary,0.01,0,1,nrmm-boxOnly,1,1,240,,,1.36013831091726,1.36006226260311,1.60315248528969e-05,-0.0458801512971095,0,NaN,205.762
stationary,0.01,0,1,nrmm-egoOnly,1,1,240,,,1.27998094136835,1.27990422930358,1.60909792086134e-05,-0.0458954011672633,0,NaN,149.251
stationary,0.01,0,1,nrmm-reactive,1,1,240,,,1.32016819933549,1.32012473293624,1.60817553880727e-05,-0.0458994549764837,1,NaN,343.468
stationary,0.01,0,3,cartesian,1,1,240,,,1.72478637091002,1.72463276829642,1.60394100898603e-05,-0.0458042441025659,0,0,216.679
stationary,0.01,0,3,nrmm-boxOnly,1,1,240,,,2.44529387232487,2.44497739431336,1.60024681155474e-05,-0.0453458019505372,0,NaN,211.223
stationary,0.01,0,3,nrmm-egoOnly,1,1,240,,,2.21420933575941,2.21395611401175,1.60071919583088e-05,-0.0455020856677195,0,NaN,228.031
stationary,0.01,0,3,nrmm-reactive,1,1,240,,,2.33436876507297,2.33435217648339,1.60068119868934e-05,-0.0454236591372615,1,NaN,384.317
stationary,0.01,0,10,cartesian,1,1,240,,,3.13595534755133,3.1355366477724,1.60006887493652e-05,-0.04478847653554,0,0,180.976
stationary,0.01,0,10,nrmm-boxOnly,1,1,240,,,4.43232177057826,4.432152960757,1.54102823710506e-05,-0.0432859653717001,0,NaN,123.937
stationary,0.01,0,10,nrmm-egoOnly,1,1,240,,,4.02895375791078,4.02677794992911,1.5969431467408e-05,-0.0436247908263814,0,NaN,217.711
stationary,0.01,0,10,nrmm-reactive,1,1,240,,,4.12549646848028,4.12549646848028,1.59902765581726e-05,-0.0435521675065655,2,NaN,466.392
oncoming,0,0,1,cartesian,1,1,240,,,0.713648135186074,0.713648135186074,1.60046465616792e-05,-0.00167633727859614,0,0.4608,761.576
oncoming,0,0,1,nrmm-boxOnly,1,1,240,,,0.634080899636691,0.625433331378057,1.60092599383044e-05,-0.00167631791961893,0,NaN,197.388
oncoming,0,0,1,nrmm-egoOnly,1,1,240,,,0.603506329694493,0.594255347555763,1.60226103268768e-05,-0.00167631931437775,0,NaN,182.618
oncoming,0,0,1,nrmm-reactive,1,1,240,,,0.605626711072418,0.596266890050574,1.6021510813341e-05,-0.0016763198343895,1,NaN,380.661
oncoming,0,0,3,cartesian,1,1,240,,,0.995783608469204,0.994757536751484,1.6017666694651e-05,-0.00167639248620068,0,0.4608,261.38
oncoming,0,0,3,nrmm-boxOnly,1,1,240,,,0.958833743231498,0.950053758399018,1.60044579209651e-05,-0.00167639090137135,0,NaN,158.627
oncoming,0,0,3,nrmm-egoOnly,1,1,240,,,0.861353175212769,0.85205051041464,1.60899291916372e-05,-0.00167638142904499,0,NaN,106.319
oncoming,0,0,3,nrmm-reactive,1,1,240,,,0.867161850781514,0.857673380172617,1.60287738932563e-05,-0.00167638134277929,1,NaN,258.36
oncoming,0,0,10,cartesian,1,1,240,,,2.29620476507221,2.27530378316688,1.6001731634685e-05,-0.00167629777559788,0,0.4608,115.399
oncoming,0,0,10,nrmm-boxOnly,0,0,51,collisionAvoidanceController:optimizationFailed,"The hard-safety, soft-CLF search failed at t=2.55 s (Fixed-direction trajectory optimization failed: solverRejected: solver exit flag -2: Clarabel status 2). No command was issued.",14.3838398104382,14.3838398104382,0.0937692173216959,-0.0215492304043527,0,NaN,219.925
oncoming,0,0,10,nrmm-egoOnly,1,1,240,,,2.03675068955814,2.01599559863782,1.60015471198371e-05,-0.00167630529035999,0,NaN,156.309
oncoming,0,0,10,nrmm-reactive,1,1,240,,,2.03093330045061,2.00854929929191,1.59209734915539e-05,-0.00167633390159101,1,NaN,332.087
oncoming,0,0.02,1,cartesian,1,1,240,,,5.66494733248677,5.66494733248677,0.0937692173216959,-0.00167637436005827,0,0.4608,100.124
oncoming,0,0.02,1,nrmm-boxOnly,1,1,240,,,5.66494733645276,5.66494733645276,0.0937692173216959,-0.00167637436000892,0,NaN,105.334
oncoming,0,0.02,1,nrmm-egoOnly,1,1,240,,,5.66494684214701,5.66494684214701,0.0937692173216959,-0.00167637436000716,0,NaN,111.386
oncoming,0,0.02,1,nrmm-reactive,1,1,240,,,5.66489970322494,5.66489970322494,0.0937692173216959,-0.00167637435986239,1,NaN,258.192
oncoming,0,0.02,3,cartesian,1,1,240,,,5.66497013151715,5.66497013151715,0.0937692173216959,-0.00167637436074257,0,0.4608,105.411
oncoming,0,0.02,3,nrmm-boxOnly,1,1,240,,,5.66497479239293,5.66497479239293,0.0937692173216959,-0.00167637436073498,0,NaN,91.895
