scenario,seed,caseName,status,violation
straight,previous,all,2,6.69846948354444
straight,previous,noRoad,2,6.69846948553747
straight,previous,noCollision,1,3.5527136788005e-13
straight,previous,noExit,2,6.69846948696385
straight,previous,noTerminal,2,2.69258240299949
straight,previous,noPhase,2,6.69846948354444
straight,previous,actuatorCollision,2,2.69258240283648
straight,previous,actuatorTerminal,1,1.27897692436818e-13
straight,previous,actuatorPhaseTerminal,1,1.27897692436818e-13
straight,fluid,all,2,9.80956940263348
straight,fluid,noRoad,2,9.8095694023095
straight,fluid,noCollision,1,3.97903932025656e-13
straight,fluid,noExit,2,9.80956940260989
straight,fluid,noTerminal,2,9.80956940045528
straight,fluid,noPhase,2,9.80956940263348
straight,fluid,actuatorCollision,2,9.8095694015572
straight,fluid,actuatorTerminal,1,3.5527136788005e-14
straight,fluid,actuatorPhaseTerminal,1,3.5527136788005e-14
sCurve,previous,all,2,16.6231307004623
sCurve,previous,noRoad,2,16.6231306999648
sCurve,previous,noCollision,10,0.29185635000359
sCurve,previous,noExit,2,16.6231307004741
sCurve,previous,noTerminal,4,5.40012479177676e-13
sCurve,previous,noPhase,4,2.45989895120147e-11
sCurve,previous,actuatorCollision,1,2.8421709430404e-14
sCurve,previous,actuatorTerminal,1,1.05160324892495e-12
sCurve,previous,actuatorPhaseTerminal,5,16.6231306232807
sCurve,fluid,all,2,16.623130693926
sCurve,fluid,noRoad,2,16.623130687119
sCurve,fluid,noCollision,2,16.6231306940874
sCurve,fluid,noExit,2,16.6231306939594
sCurve,fluid,noTerminal,4,1.05160324892495e-12
sCurve,fluid,noPhase,4,1.0203393685515e-11
sCurve,fluid,actuatorCollision,4,8.38440428196918e-13
sCurve,fluid,actuatorTerminal,1,1.53477230924182e-12
sCurve,fluid,actuatorPhaseTerminal,10,1.47932147588901
