scenario,planTime,stage,time,axle,anchorBeta,candidateBeta,betaSlope,anchorSteering,candidateSteering,anchorForce,betaForceChange,affineForce,nonlinearForce,capacity,slip
straight,2,1,2,1,0.999929413489141,0.923738750255249,547478.032832824,-0.408069951405635,0.698122105721091,-77.2918561969637,-41712.714427519,-41790.0062837159,2491.67016177417,2491.67016177417,-0.747575223445585
straight,2,1,2,2,0.999929413489141,0.923738750255249,441542.984698786,-0.408069951405635,0.698122105721091,-75.0728090578596,-33641.4528504725,-33716.5256595303,-162.732783288466,2472.47388944539,0.00105099706183442
straight,2,2,2.05,1,-0.830131595363399,-0.999987981729728,-9685.34345967983,-0.698116604006694,-0.698122098665937,-3627.12906309612,1645.11744077798,-1982.01162231814,-31.8933561044325,31.8933561044325,0.365917332372243
straight,2,2,2.05,2,-0.830131595363399,-0.999987981729728,-1026.40303351333,-0.698116604006694,-0.698122098665937,-1776.35988768071,174.341110228013,24994.0836891404,31.6476439878563,31.6476439878563,-0.261030483452998
straight,2,3,2.1,1,0.729759730322541,-0.10811183589848,-6943.48523455899,0.244702662327557,0.698122061582489,4447.67935038318,5817.74884851247,10265.4281988956,6467.14417515704,6467.14417515704,-1.01579399899029
straight,2,3,2.1,2,0.729759730322541,-0.10811183589848,237.750798896756,0.244702662327557,0.698122061582489,-1317.48800479009,-199.204634241923,10550.2430842187,6339.75383924293,6417.32014038697,-0.0933964003076551
straight,2,4,2.15,1,0.365110769580102,0.999987975580673,-1417.69307384743,0.0853510621017411,0.698122113577155,5455.81788526882,-900.061017690616,27469.7104571591,31.9015140068073,31.9015140068073,-0.882721416767271
straight,2,4,2.15,2,0.365110769580102,0.999987975580673,-0.279056027862241,0.0853510621017411,0.698122113577155,108.839690241075,-0.177166311286797,2976.1140482775,31.6557390402929,31.6557390402929,-0.0215275520231071
straight,2,5,2.2,1,0.522606375491495,0.999987986092142,3987.56816426533,-0.381507202174975,0.698122091025896,-5546.22744062341,1903.59171263685,-3642.63572798656,31.8875672601442,31.8875672601442,-0.609624537265403
straight,2,5,2.2,2,0.522606375491495,0.999987986092142,-51.3995241461199,-0.381507202174975,0.698122091025896,1038.50267317557,-24.5371876209815,3040.37094244088,31.6418997418592,31.6418997418592,-0.0234626208259631
straight,2,6,2.25,1,0.835271627161574,0.999987988270944,9882.31961227253,-0.698119003443962,0.698122087546726,-3576.84339152808,1627.77972585329,-1949.06366567479,31.8846756348814,31.8846756348814,-0.674703480346672
straight,2,6,2.25,2,0.835271627161574,0.999987988270944,15.0822739779577,-0.698119003443962,0.698122087546726,-237.447014398764,2.48429728690375,1002.75613306589,31.6390303941943,31.6390303941943,-0.00706681265017017
straight,2,7,2.3,1,-0.999975454703717,-0.999987999488934,-928449.77133869,-0.69383647416742,-0.698122075415936,-45.5787088218473,11.6472029667889,-33.93150585494,-31.8697833832711,31.8697833832711,0.689568763385106
straight,2,7,2.3,2,-0.999975454703717,-0.999987999488934,-921296.828333779,-0.69383647416742,-0.698122075415936,-45.227562301589,11.5574708331184,-33.6700914683752,13.8270728086746,31.6242528751525,-0.000104471668113565
straight,2,8,2.35,1,0.997884358832147,0.987072782996175,-99848.0489714365,0.698071216009794,-0.698121367827979,422.933147012729,1079.51475352859,1502.44790054132,-1042.61736250583,1042.61736250583,0.726225860365902
straight,2,8,2.35,2,0.997884358832147,0.987072782996175,99078.8017536635,0.698071216009794,-0.698121367827979,-419.674794446055,-1071.19797889703,-1490.87277334307,842.778844536216,1034.58485197036,-0.00842329767627355
straight,2,9,2.4,1,-0.999987976341074,-0.999987999682032,-1326564.30612204,-0.698119979130455,-0.698122036693975,-31.9005053024412,0.0309632819740368,-31.8695420206059,-31.869526978726,31.869526978726,0.70884480331687
straight,2,9,2.4,2,-0.999987976341074,-0.999987999682032,-1316344.21757556,-0.698119979130455,-0.698122036693975,-31.6547381071655,0.0307247353148181,-31.6240133719984,31.6239984459939,31.6239984459939,-0.0254520555033817
straight,2,10,2.45,1,0.995533939284825,0.999987851980654,68600.8892774617,-0.0612889384350717,0.698121836447978,-614.125904189651,305.542371698028,-308.583532491626,32.0650530047791,32.0650530047791,-0.658454042880765
straight,2,10,2.45,2,0.995533939284825,0.999987851980654,-57380.5088135967,-0.0612889384350717,0.698121836447978,599.789723604623,-255.567776697991,690.292887905067,31.8180181045907,31.8180181045907,-0.0426816253445266
straight,2,11,2.5,1,-0.999691437608523,-0.999987976584575,-261805.357043616,-0.698117495270195,-0.698121931422763,-161.591508519823,77.6354925026355,-83.9560160172114,-31.9001822809461,31.9001822809461,0.755307814091741
straight,2,11,2.5,2,-0.999691437608523,-0.999987976584575,259788.361773519,-0.698117495270195,-0.698121931422763,160.346578652639,-77.0373747905391,83.3092038620962,31.6544175742858,31.6544175742858,-0.0552046911829079
straight,2,12,2.55,1,0.985428501306467,0.448168406650829,-37688.7234810714,0.141371625659534,-0.698121348486735,1106.48309396967,20248.6471448906,21355.1302388603,-5815.38351041529,5815.38351041529,0.771466228008416
straight,2,12,2.55,2,0.985428501306467,0.448168406650829,-37398.3628182655,0.141371625659534,-0.698121348486735,1097.95855042258,20092.6479477072,21190.6064981298,5720.48588864719,5770.5807563129,-0.0866322119635832
straight,2,13,2.6,1,0.999984055104073,0.995425538992627,1151952.33638554,-0.698116207837528,0.698120554022465,-36.7358131093094,-5251.19328503211,-5287.92909814138,621.51737479789,621.51737479789,-0.526400823108271
straight,2,13,2.6,2,0.999984055104073,0.995425538992627,-1143077.48966696,-0.698116207837528,0.698120554022465,36.4527938383465,5210.7371532788,5247.18994711735,-616.729093842118,616.729093842118,0.0643540862585898
straight,2,14,2.65,1,-0.999982946607309,-0.999987716547802,1113883.05417974,0.400460161944524,0.659348985426115,37.991294213058,-5.31315588488184,32.6781383282505,32.2432959898605,32.2432959898605,-0.526123174086436
