Hold,RelativeHoldStartS,SteeringRad,BrakingRatio,SpectralRadiusClosedMap,SpectralRadiusAbsoluteClosedMap,LateralBoundM,LateralBoundFeedbackOffM,SteeringFeedbackSupportRad,MaximumArithmeticIncrement,MaximumTireBetaDerivativeN
1,0,0.698122061721655,-0.937350731868039,1.00015875689009,1.06137071029336,7.78777491078664e-13,7.78777491078664e-13,0,3.66206836925829e-11,17502.7198757627
2,0.05,0.698122062216293,-0.999987997730252,28.4002303738815,28.5348606549722,1.86402658053395e-11,5.38000517825973e-12,9.89840412449392e-13,1.37363596332446e-10,1327745.8326868
3,0.1,0.69812201424507,0.999986957193143,26.3233413770417,26.3976128001606,5.38355644647391e-10,2.75093961636646e-11,1.28175365768347e-11,2.70749468490126e-10,1273681.28683756
4,0.15,0.698121945572535,0.999986870885828,25.9895241026847,26.0654434105901,1.40922833879927e-08,8.18518038932888e-11,3.2694908778172e-10,4.11608318079416e-10,1269487.88031082
5,0.2,0.698121935027121,0.444525019476581,1.02062674475799,1.08867837089963,4.11755012498548e-08,1.79125388593275e-10,8.5379338443265e-09,3.78818272171067e-10,3228.24859105371
6,0.25,0.698121896577962,-0.999966130576583,16.8913978292411,17.0651423025199,1.95482166600352e-07,3.19379116408159e-10,2.14227067283364e-08,4.63025578544317e-10,790379.40290965
7,0.3,0.698121662222283,0.999956979240524,14.0488023171301,14.1112674397593,2.46161803898701e-06,5.18301104762436e-10,1.13916285411499e-07,5.4044340020797e-10,701289.761418989
8,0.35,-0.698119376912709,0.999968872320934,18.5606261304753,18.5832826619647,1.01625985100889e-05,7.84697965894192e-10,1.46243745177261e-06,5.79251004305432e-10,824455.156915486
9,0.4,-0.467372425113249,0.999957560616468,11.2828073426783,11.315514295087,6.52404238784546e-05,1.1273588050929e-09,0.000131978284639101,6.43556633653324e-10,706077.2049066
10,0.45,0.533213681046847,0.788916984102721,1.02592439870144,1.13047999733918,0.000680856658749885,1.56145929788579e-09,0.00214006397829453,7.22728687306123e-10,8351.70436497223
11,0.5,0.698118570243736,0.999985907849478,24.9827191804245,25.0558248235403,0.00933702926280644,2.10646874889351e-09,0.00330591418476854,9.2804032104468e-10,1225342.00422721
12,0.55,0.698121815631578,0.99998775512209,26.5667519263985,26.6439003939917,0.218482076232526,2.79696672659166e-09,0.00778931428069715,1.15536095177425e-09,1314526.45253515
