Hold,RelativeHoldStartS,SteeringRad,BrakingRatio,SpectralRadiusClosedMap,SpectralRadiusAbsoluteClosedMap,LateralBoundM,LateralBoundFeedbackOffM,SteeringFeedbackSupportRad,MaximumArithmeticIncrement,MaximumTireBetaDerivativeN
1,0,-0.119113186519986,-0.999987952901361,1.00340326112641,1.01167657432239,6.94344601628757e-13,6.94344601628757e-13,0,1.27990593484404e-10,1325273.12441717
2,0.05,-0.0398725301904362,-0.999987244610373,5.5577985039368,5.68903515216364,7.99842938475795e-12,7.72939112577635e-12,1.50845629751603e-11,2.51638919055803e-10,1287951.55778099
3,0.1,-0.0197023342038212,-0.2512531220474,1.00001934273166,1.10772030907383,7.45130162912456e-11,4.07911278077734e-11,2.32344202506875e-10,1.44905626861393e-10,922.936337162949
4,0.15,-0.00519042711181121,-0.0189941747742279,0.999988503066244,1.0683722274954,1.65335343984849e-10,8.9515989559824e-11,2.7601705194026e-10,3.6631022728195e-11,2.02058545132035
5,0.2,0.00387755209504438,0.0112018482879792,0.999981553700362,1.06924075312826,2.7499455777602e-10,1.54681501224062e-10,2.67360704381392e-10,2.58301856777071e-11,0.734568497050192
6,0.25,0.00912142346318109,0.015003311580489,0.999985387901293,1.06876045495743,3.96871063949737e-10,2.37926453836966e-10,3.14749288274822e-10,3.01544534543704e-11,0.715960080334622
7,0.3,0.0115933443490183,0.0154249397615281,0.999989449383673,1.06787326407751,5.37095375734767e-10,3.41572473354099e-10,3.63495089844932e-10,4.03508886646691e-11,0.297180179663444
8,0.35,0.0120105461678112,0.0155536522681527,0.999992594774926,1.06706127136662,6.97698527400494e-10,4.6645250436251e-10,4.16495104579336e-10,5.09023381511995e-11,0.0706266989318692
9,0.4,0.0107582385302017,0.0158467939736836,0.999994955442985,1.06634130637188,8.79547352127594e-10,6.12861998944477e-10,4.73825783203738e-10,6.15639313499605e-11,0.0223230574865518
10,0.45,0.00766141652607444,0.0164099302859698,0.999996781961182,1.06710114519703,1.084622849012e-09,7.80931630770195e-10,5.3594909325945e-10,7.22728171982523e-11,0.0724876654724975
11,0.5,0.00291425546946178,0.0173603377172741,0.999998057925656,1.06792818348526,1.3134675438062e-09,9.70740733264761e-10,6.03259675262525e-10,8.30134437443459e-11,0.32220845197639
12,0.55,-0.0041339712371738,0.0189072436661283,0.99999909654003,1.06899655938381,1.5673963546801e-09,1.18235305081165e-09,6.7769998099349e-10,9.37797347521059e-11,0.988889539139543
13,0.6,-0.0142542830634631,0.0214716194392636,0.999999884129263,1.07042078329102,1.84865984535639e-09,1.41588915551125e-09,7.59879691254151e-10,1.04576712623388e-10,2.66780176519192
14,0.65,-0.0283980456638396,0.026234929216275,1.00000037778314,1.07300956637119,2.16058815146453e-09,1.67144253965419e-09,8.50352613261558e-10,1.15401992946456e-10,6.96048653899845
15,0.7,-0.0503629659916592,0.0408045696197136,1.00000083058458,1.07912641706359,2.51278292378362e-09,1.94912473444036e-09,9.52674027368067e-10,1.26257992750678e-10,25.7750268962605
16,0.75,-0.0412672001537222,0.113031364297762,0.999997976978855,1.06775993653833,2.87231894839755e-09,2.24910673898212e-09,1.07364650380228e-09,1.37150222072616e-10,2.63451801599724
17,0.8,-0.0747930197175207,0.223210081856066,1.0000000677318,1.08627634468189,3.32223587296521e-09,2.57247318685512e-09,1.2001695806282e-09,1.48122761922883e-10,256.699654938164
18,0.85,-0.364903685592924,0.822228872459061,1.00000186559136,1.08085670848421,3.94249679283033e-09,2.92054449672502e-09,1.35014768899349e-09,1.59226561202379e-10,9397.79989520789
19,0.9,0.698122077320037,0.999987999495067,25.2065284832545,30.6843390435481,4.80399443000206e-09,3.30056773229047e-09,1.60024339713135e-09,1.71155775304996e-10,1327843.46119027
20,0.95,0.698122106005209,0.999987999652226,24.8216075740836,30.2401377455979,1.49799439043368e-08,3.72373075526894e-09,1.05268648281817e-08,2.2694844091342e-10,1327852.15613304
21,1,-0.698122110994691,-0.98692218314644,1.4725557069926,1.49980034435513,1.58783356117654e-07,4.20885451863188e-09,2.82926276177179e-07,2.49423988742683e-10,39828.1745543319
22,1.05,-0.698122112342853,-0.999987999888167,28.5005737423732,29.1725442111121,3.54030700665852e-06,4.74858167294511e-09,4.46942879274944e-07,4.86755383140686e-10,1327865.21015781
23,1.1,-0.69803977280256,0.999987987620847,30.3458283196304,30.3654964566679,2.5681613078385e-05,5.37174134021057e-09,2.43579784292448e-06,6.34233667082326e-10,1327187.00138753
24,1.15,-0.698122110547211,-0.999987992747062,31.2849179607741,31.3042655829722,0.000576783307925751,6.13451288165781e-09,0.000361888344971921,7.41823135897397e-10,1327470.281916
25,1.2,0.698122113142073,0.999987998514466,27.1843913288601,27.2527942851193,0.0948461123061042,7.02972658881868e-09,0.0115989536770349,9.37953491076155e-10,1327789.2122618
26,1.25,-0.698122110456563,0.999987959835187,29.9957957675975,30.0156784804426,0.659359637356907,8.12600995955385e-09,0.06674775718165,9.61611265437974e-10,1325654.68296407
27,1.3,-0.698122102336017,-0.999987961299432,30.7384016085235,30.7714549031064,14.1417111583559,9.45398951790259e-09,9.37541923479872,1.12782219660855e-09,1325735.30048347
28,1.35,0.69812204868637,-0.691956873994875,1.14152783572889,1.1758265235086,116.282652736732,1.09870977358924e-08,297.294624234547,1.24473719888442e-09,6235.11069775572
29,1.4,-0.698122085938861,0.999987970721181,29.6696466960976,29.6884849948165,617.504199749379,1.27500533626348e-08,471.127789256923,1.37744202927909e-09,1326254.38916423
30,1.45,0.69812208672488,-0.561995975724626,1.08174063154804,1.15196721166519,3192.65829521292,1.48444309447788e-08,7268.81836220607,1.26590854706626e-09,4419.97431797318
31,1.5,0.69812208899912,0.0689346522067765,1.04582128677476,1.07223457174009,8401.99471409273,1.70771164392828e-08,10943.0040072353,8.98893653089627e-10,449.508051257389
32,1.55,-0.69812203039009,-0.999987912573209,31.3141054473703,31.3333756152768,18041.1741614315,1.93785485668207e-08,13794.366624743,9.33697269432623e-10,1323060.43522643
33,1.6,0.698122064608293,0.676467205834466,1.00312854876476,1.02183356630696,68696.0035286565,2.20431095933363e-08,145643.172008656,6.02718426193955e-10,5975.24349642834
34,1.65,0.452329762273105,0.296188023338277,1.01632738148993,1.03490944762842,139252.246641974,2.48899924724493e-08,181751.27636847,5.47370083659097e-10,2017.30103187092
35,1.7,0.216682740055932,0.14770932514309,1.0001042793175,1.0985703576722,202556.625553813,2.78090913282976e-08,209828.853016294,5.82942680259511e-10,237.651200643423
36,1.75,0.110423407613721,0.113592670639235,1.00000653904826,1.10179445391982,281314.425104334,3.08054977338387e-08,215440.808212083,6.29591329764335e-10,374.884319310916
37,1.8,0.0499138879514585,0.0954816890997807,1.00000491546813,1.09678201985195,362002.554241951,3.39378125920213e-08,239059.160358197,6.86738535480999e-10,289.068189075384
38,1.85,0.0118987480707189,0.0812472730425706,1.000013523246,1.09394269440662,440262.52695511,3.72064382519191e-08,262514.184733318,7.47254243854616e-10,151.116031375167
39,1.9,-0.0111428478921196,0.0700850106469558,1.00002357024328,1.08686898716627,518092.438217209,4.06067331934915e-08,284940.909032857,8.10067778464601e-10,64.4215798972679
40,1.95,-0.0246585703604767,0.0616910892467645,1.00003100102027,1.08029028365631,597605.624781742,4.41420325198938e-08,307106.829081012,8.74560839292651e-10,25.5183806221372
41,2,-0.0319875421232334,0.0557199058820706,1.0000349124463,1.07709730164073,681902.434141459,4.78154610433491e-08,328417.169481825,9.39852755869653e-10,9.99641086033374
42,2.05,-0.0353695860869963,0.0514888053981856,1.00003575482375,1.07505530728082,770801.063145111,5.16305224657315e-08,349514.602328589,1.00555438625053e-09,3.96618162077766
43,2.1,-0.036295127638137,0.0484247514010228,1.00003449583928,1.07424242469317,863911.187666135,5.55882638198566e-08,371354.997868164,1.07142372935657e-09,1.60872476756578
44,2.15,-0.0357446975227042,0.046127132232384,1.00003193324618,1.07372102055095,961132.923479502,5.96889730627541e-08,395169.948236631,1.13732672510511e-09,0.746059810066503
45,2.2,-0.0343579492598091,0.0443366076511156,1.000028661535,1.07340581973882,1062699.10659995,6.39326555238884e-08,420497.823855056,1.20325702840523e-09,0.711878429659993
46,2.25,-0.0325553516469815,0.0428925378711374,1.00002509034676,1.07323821663806,1168952.61281284,6.83192343736814e-08,447712.672285424,1.26921714835613e-09,0.646493987894447
47,2.3,-0.0306047526315279,0.0416992313258174,1.00002151899009,1.07317390520671,1280353.9212239,7.28486361875057e-08,477081.797812803,1.33521169656215e-09,0.570679602959043
48,2.35,-0.028673440420099,0.0407023099737588,1.00001815853347,1.07318144573749,1397458.02694621,7.75208265866243e-08,508841.253969945,1.40124602962089e-09,0.496346078828967
49,2.4,-0.0268640174111742,0.0398727179718704,1.00001515470417,1.07323950747485,1520896.30986701,8.23358250471621e-08,543210.420163734,1.46732630859737e-09,0.429435323523821
50,2.45,-0.025236763832117,0.039196817437542,1.00001260866465,1.07333355351692,1651364.25412421,8.72937109364929e-08,580403.985183563,1.53345897336244e-09,0.372309881716056
51,2.5,-0.0238243460348787,0.0386701706251942,1.00001058952425,1.07345366690426,1789614.88323869,9.23946276641694e-08,620640.755261219,1.599651817683e-09,0.325354488155993
52,2.55,-0.0226417383445607,0.0382937951354865,1.00000914437417,1.07359674719054,1936456.6498051,9.76451706901213e-08,664149.589131139,1.66609936579136e-09,0.287979451345312
53,2.6,-0.0216927776497528,0.0380719915890456,1.00000830347859,1.07377940678882,2092834.56862025,1.03048387469457e-07,711176.59026242,1.73269354835452e-09,0.259217350052205
54,2.65,-0.0209750680798638,0.0380112802805986,1.00000808496682,1.07397849749871,2259700.57603458,1.08604584458083e-07,761996.402777819,1.79936341735401e-09,0.238055500720699
55,2.7,-0.0205280999997672,0.0381210269308068,1.000008421284,1.07420619743017,2438076.69330604,1.14314160672869e-07,816894.160661585,1.86611539591904e-09,0.223624935520898
