Hold,RelativeHoldStartS,SteeringRad,BrakingRatio,SpectralRadiusClosedMap,SpectralRadiusAbsoluteClosedMap,LateralBoundM,LateralBoundFeedbackOffM,SteeringFeedbackSupportRad,MaximumArithmeticIncrement,MaximumTireBetaDerivativeN
1,0,-0.164203344174286,-0.999986480795012,1,1.00817297846561,3.77934510124924e-12,3.77934510124924e-12,0,1.32540776355855e-10,1251038.19132211
2,0.05,-0.0856836521359106,-0.912021888476947,1.06129871396192,1.10458339162747,1.92728450971681e-11,1.90375434093749e-11,1.22664484182561e-12,1.32627704445722e-10,14465.6202470568
3,0.1,-0.107371618104056,-0.112848787472064,1,1.09410266363123,4.10582489025538e-11,4.07703689065516e-11,9.78081361527249e-12,1.32904016426525e-10,332.187216876314
4,0.15,-0.133908079603078,-0.0200281242195128,1,1.09539701577188,6.54920327422555e-11,6.57795744553073e-11,1.98482647043367e-11,1.33281352702662e-10,45.8354874185818
5,0.2,-0.295206071317746,-0.0417008104281148,1.02850422917769,1.05622680728597,9.57541561282225e-11,9.49336947501689e-11,2.91900457310286e-11,1.33727665397486e-10,271.511344094872
6,0.25,-0.301325305042527,-0.0399625408455032,1.02778572648802,1.05738327425184,1.31974280664348e-10,1.29733214662556e-10,4.26186438012978e-11,1.34210598117779e-10,260.175082763933
7,0.3,-0.556220193354315,0.184095664338918,1.02850480539948,1.06098862867679,1.7464267966179e-10,1.70531196060717e-10,5.75549637006632e-11,1.34740946105491e-10,1218.4173943001
8,0.35,0.262870093682383,-0.279467185519695,1.04603182045743,1.07237856833707,2.24491555210717e-10,2.17664316737804e-10,7.41858351042349e-11,1.35314048158106e-10,1893.45465492821
9,0.4,0.698119860478597,0.999987997539853,27.959187559058,27.9923695666413,2.89609046907028e-10,2.70861050567879e-10,9.30502463152422e-11,1.36876860411326e-10,1327735.3012327
10,0.45,0.69812160062038,0.999987998464311,27.5393589883821,27.5453541451552,7.52759771869025e-10,3.40500199781015e-10,5.84285050746702e-10,2.06863233476319e-10,1327786.43776215
11,0.5,0.698121846548737,0.999987999414077,27.2182512754179,27.2251271664293,1.18630492267441e-08,4.43589790415682e-10,1.42157225935071e-08,3.09752511184777e-10,1327838.98039513
12,0.55,-0.698121848197481,-0.944094331109908,1.17041529290945,1.19064356675573,1.71722083436908e-07,6.12309861199098e-10,3.89619067344978e-07,2.70317107102269e-10,18629.2059860014
13,0.6,0.698120858279193,0.999987996325141,27.0674874141773,27.0701777837312,2.85041491436835e-06,8.29244371934427e-10,5.93649826077057e-07,3.43951849644699e-10,1327668.11824019
14,0.65,-0.698119971671254,-0.999987995927903,29.0232564319502,29.056181181466,2.3329083842083e-05,1.12158439926033e-09,2.54859005944365e-06,3.74225704118308e-10,1327646.15012551
15,0.7,-0.698116976581893,0.99998789818619,27.5393475441728,27.5468227465448,0.000548075950631423,1.5121448404368e-09,0.000300133607368357,4.36382675549166e-10,1322273.73902099
16,0.75,0.0459575469290896,-0.999261511625625,1,1.64488237709824,0.00941316240676543,2.02520086263123e-09,0.0089829699874173,4.65716138588224e-10,167872.374844083
17,0.8,0.583063595238528,0.999890478262103,7.15328764700417,7.17495476504321,0.0445438173584656,2.67259728588803e-09,0.0273654224930282,5.33959826489127e-10,439505.899436353
18,0.85,0.266779073425806,0.99135080331335,1.10659798525568,1.17407721098242,0.115558990380462,3.53806485843908e-09,0.0473880272396218,5.90952105485285e-10,49139.545495838
19,0.9,-0.163807426801404,-0.662634688592526,1.05433212649549,1.20841263147806,0.213221518074603,4.65650078414143e-09,0.0713295852208464,6.81233069152636e-10,5755.60633237254
20,0.95,0.0172430141153379,0.999967525793513,1.45270626126107,1.47391983221037,0.447360178139783,6.00045755857036e-09,0.101734213792602,8.48978483461477e-10,807180.564659014
21,1,-0.480431345425567,-0.453451225774927,1.05933322839627,1.18655817259869,0.817762997845508,7.65241336816421e-09,0.152029343352747,8.94791706598574e-10,3309.64514974627
22,1.05,0.0956047676131329,0.182443766454279,1,1.02454874419483,1.15599967366569,9.47754150856547e-09,0.245661359169101,6.3071439756317e-10,1207.10628212697
23,1.1,-0.635757365461706,0.266481688033652,1.03154211378418,1.05643067961442,1.45258705919005,1.13773503050377e-08,0.448340119997293,4.00757126510825e-10,1798.57262536851
24,1.15,0.322373295494117,0.164891708444876,1.02072774024371,1.03409282283077,1.74932329211834,1.33957675049942e-08,0.631181520103831,3.15161177136339e-10,1087.55239406143
25,1.2,-0.610086811960392,0.222886379362346,1.03281448447507,1.05785531309069,2.06615895873347,1.55743659409421e-08,0.772292636411851,3.44077960064214e-10,1487.35199703014
26,1.25,-0.0546465352316645,0.0531069634009412,1,1.08648499747903,2.28632632550611,1.77842145071304e-08,0.896479652343843,3.75178387594688e-10,2.79751556486887
27,1.3,-0.0439881625745993,0.0046558930936953,1,1.08512521653069,2.54874407332688,2.00478104962636e-08,0.960575807209441,4.12109937055572e-10,0.266166797787234
28,1.35,-0.0399877405618282,0.00553478442231481,1,1.08298086806575,2.83311113099834,2.23800616082457e-08,1.03203998237808,4.56657326498326e-10,0.23754799247258
29,1.4,-0.0388334938604724,0.00923283263856334,1,1.08455738292266,3.13944612758043,2.47972590267363e-08,1.10843369316205,5.03114310839066e-10,0.31547370988185
30,1.45,-0.0374263571977644,0.0110230148805419,1,1.08461338135884,3.46365909331143,2.73079518805621e-08,1.19496499534423,5.50581342781124e-10,0.336436842015555
31,1.5,-0.0355456081139049,0.0118766209844652,1,1.08418479671649,3.80743888676951,2.99157946832151e-08,1.2903074772815,5.98316108933942e-10,0.332089430549413
32,1.55,-0.0333126979143514,0.0124590392610443,1,1.08367195892869,4.17339217558622,3.26222936284022e-08,1.39364503225929,6.46204273612086e-10,0.314864594367406
33,1.6,-0.0309368436361573,0.0129865938092981,1,1.08323005735703,4.56400619552241,3.54281416351334e-08,1.50532492638063,6.94234130311357e-10,0.289826467722841
34,1.65,-0.0285693179131659,0.0134984642062677,1,1.08288198876404,4.98165231343004,3.83337078520825e-08,1.6260668256579,7.42398550848223e-10,0.260804201686314
35,1.7,-0.0262890088339518,0.0139899360873479,1,1.08260561460936,5.42875795591867,4.13392257887507e-08,1.75671379874185,7.90691040733608e-10,0.230821449911654
36,1.75,-0.0241297140918748,0.0144550384117264,1,1.08237727896921,5.90793290690894,4.44448698242261e-08,1.89813493609872,8.39105291935562e-10,0.201858726985693
37,1.8,-0.02210478770635,0.0148944886953217,1,1.08218295133415,6.42202427204992,4.76507868707437e-08,2.0512197634061,8.87635315633673e-10,0.175000120065935
38,1.85,-0.0202189733413299,0.0153141582786065,1,1.08201564343588,6.97413087078558,5.09571093819292e-08,2.21690309186744,9.3627540081812e-10,0.150746760042125
39,1.9,-0.0184722354955645,0.0157224325413332,1,1.0818713181151,7.5676078563435,5.43639613072366e-08,2.39618729839709,9.85020192943324e-10,0.129256516326105
40,1.95,-0.0168610272479475,0.0161282804503824,1,1.08174688092271,8.20607611922614,5.78714619054692e-08,2.59015543822374,1.03386487688896e-09,0.110480466364032
41,2,-0.0153793071142603,0.0165399652546177,1,1.0816397327312,8.89343892000552,6.14797297631727e-08,2.79997935088285,1.08280601388401e-09,0.0942430968793745
42,2.05,-0.0140196898625133,0.0169640534354145,1,1.08154785513928,9.63390411939461,6.5188883847514e-08,3.02692708798594,1.13183900269472e-09,0.0802986185710751
43,2.1,-0.0127746147820538,0.0174044511277245,1,1.08146994613326,10.4320106984553,6.8999046375667e-08,3.27237161330681,1.18096037730178e-09,0.0683733194424048
44,2.15,-0.0116371571451563,0.0178612489225041,1,1.08140533889931,11.2926586283986,7.29103445039619e-08,3.5378013148506,1.23016720432462e-09,0.058195714561425
45,2.2,-0.0106004343044169,0.0183291517309552,1,1.08135321294597,12.2211389081909,7.69229112347095e-08,3.82483183203619,1.27945697055213e-09,0.0495141001171023
46,2.25,-0.00965435212664474,0.0187952620962042,1,1.0813107688544,13.2231570587089,8.10368855117654e-08,4.13521599637448,1.32882754082663e-09,0.0420981159630975
47,2.3,-0.00878156606583795,0.0192360214500576,1,1.08127201688916,14.3048490281262,8.5252411242558e-08,4.47084497969944,1.37827709983815e-09,0.0357219997918612
48,2.35,-0.00796332563949402,0.0196131419606272,1,1.0812328932784,15.4728232424345,8.95696343615987e-08,4.8337389173882,1.42780406154579e-09,0.0301463537628417
49,2.4,-0.00721301599622226,0.0198680895435512,1,1.08120916443552,16.734324097229,9.39886957534162e-08,5.22605956037351,1.47740691435696e-09,0.0251550834336427
50,2.45,-0.00663204173467048,0.0199136453305482,1,1.08125651716423,18.0975874044054,9.85097169387705e-08,5.65024095325952,1.5270839841325e-09,0.0207094373804769
51,2.5,-0.00639156491188683,0.0196197162869415,1,1.08143616639552,19.5720531375465,1.03132778309388e-07,6.10931767848497,1.57683316113921e-09,0.0171235733123403
52,2.55,-0.00641910156201098,0.0187947914164518,1,1.08163181652331,21.1671056296515,1.07857899927081e-07,6.60713746234364,1.62665175653728e-09,0.0148512646116839
53,2.6,-0.00565346299441075,0.0172105527660179,1,1.08122654361463,22.8873502603564,1.1268504797496e-07,7.14715047570204,1.6765366610189e-09,0.0133631326975886
54,2.65,-0.00435725113454362,0.0150554571323441,1,1.08148825301332,24.7518058580428,1.17614169527466e-07,7.7277821927782,1.72648379102738e-09,0.00962762778852993
55,2.7,-0.00426542925760914,0.0124442376461091,1,1.08124445870721,26.7628087223765,1.22645000426211e-07,8.3579589880972,1.77648596348145e-09,0.00517370143865475
56,2.75,-0.00461541106006595,0.00890148892168674,1,1.08158032640243,28.9416290767096,1.27776948626556e-07,9.03730837294091,1.82653269458934e-09,0.00627769176676379
57,2.8,-0.00431393191722674,0.00376949604824195,1,1.08126413361683,31.2917582426788,1.33009359518219e-07,9.7750649706138,1.87661360149938e-09,0.00146368553547976
58,2.85,-0.00214509526211737,-0.00381623467903403,1,1.08181426618821,33.8421287279964,1.38341437248212e-07,10.5695532548646,1.92671556677232e-09,0.00918970584062949
59,2.9,0.00155939892026635,-0.0149604153902718,1,1.08288500083445,36.610105360857,1.43771927144233e-07,11.435884513835,1.97681843190163e-09,0.1996050477068
60,2.95,0.00172133915424888,-0.0307774161984198,1,1.08113362104909,39.5644128046931,1.49298528843738e-07,12.389092847667,2.02688868975376e-09,0.0383266008556327
61,3,-0.00816425877417659,-0.0500180695315786,1,1.08558022021996,42.8540616043999,1.54917475497022e-07,13.3957290143475,2.07687454533182e-09,4.0037424697766
62,3.05,0.000118460605028903,-0.0498410839692851,1,1.08285886932668,46.3263887814428,1.60623765094391e-07,14.5534070325105,2.12671665011288e-09,1.27045604484294
63,3.1,-0.000855688249379661,0.166003029621562,1,1.0799671402694,50.0139973496578,1.66419307607878e-07,15.7672071964418,2.17643825270284e-09,0.00533978794720835
64,3.15,-0.000855688249379661,0.166003029621562,1,1.08077378931633,54.0719456227663,1.72345748754959e-07,17.0474266527568,2.22660695850611e-09,0.00280598226527827
